group,year,abundance,richness,shannon,simpson,pielou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post.larvae.,Y2,5085,49,2.296059,0.8599917,0.5899705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlers.,Y1,4216,22,1.990371,0.8149269,0.6439157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Settlers.,Y2,26342,36,2.346124,0.860127,0.6546984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruits.,Y1,25289,30,2.356521,0.8642006,0.6928503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recruits.,Y2,44496,41,2.274022,0.856802,0.6123542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event?,Event type,A priori?,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.73359926,-0.704929577,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.7358256,-0.697887324,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.73248609,-0.696197183,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.72944341,-0.694225352,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Grosa Island,37.7241744,-0.691877934,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.63658743,-0.694184875,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.63903879,-0.688542852,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.63593957,-0.686038155,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.63371497,-0.68453656,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.63157835,-0.688467267,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.62991744,-0.692094567,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.65295331,-0.654693374,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.6556474,-0.651968041,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Recruits,Cape of Palos-Islas,37.65746768,-0.648742621,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.73100186,-0.713568075,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.72714286,-0.711971831,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.72380334,-0.710469484,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.72699443,-0.701455399,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.73011132,-0.703239437,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.73359926,-0.704929577,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.7358256,-0.697887324,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.73248609,-0.696197183,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.72944341,-0.694225352,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Grosa Island,37.7241744,-0.691877934,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.63658743,-0.694184875,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.63903879,-0.688542852,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.63593957,-0.686038155,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.63371497,-0.68453656,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.63157835,-0.688467267,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.62991744,-0.692094567,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.65295331,-0.654693374,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.6556474,-0.651968041,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cape of Palos and Grosa Island - Settlers,Cape of Palos-Islas,37.65746768,-0.648742621,"different subset of community considered, given distinguishing site names so the same locations are used",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
