QC,Study ID,Reference,Collector,coral,plant,algae,fish,inverts,mobile inverts,sessile inverts,marine mammals,phytoplankton,zooplankton,mesh size,mesh size units,Descriptor of Taxa Sampled,Sys,Lat,Long,Loc,Event,Event type,A priori,Year of Event,Notes,Vis,Trwl,Line,Drdg,Trp,Source,Site,n1,n2,sub1,sub2,I1,I2,ind1_error,ind1_error_type,ind2_error,ind2_error_type,P1,P2,SiSz,SiSz (units),PltSz,PltSz (units),T1,T1m,T2,T2m,SppR1,SppR1 Error,SppR1 Error Type,SppR2,SppR2 Error,SppR2 Error Type,Shan1,Shan1 Error,Shan1 Error Type,Shan2,Shan2 Error,Shan2 Error Type,Simps1,Simps1 Error,Simps1 Error Type,Simps2,Simps2 Error,Simps2 Error Type,Even1,Even1 Error,Even1 Error Type,Even2,Even2 Error,Even2 Error Type
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,15,,,13,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,0,,,9,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,0,,,18,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Shallow,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,11,,,16,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,13,,,18,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,9,,,12,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,1,0,0,0,0,0,0,NA,NA,typical kelp forest fish assemblage,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 2,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,18,,,13,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Shallow,1,1,,,,,,,,,,,269,acres,100,m^2,1989,Nov,1990,Nov,2,,,5,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1989,Nov,1990,Nov,1,,,3,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1989,Nov,1990,Nov,1,,,3,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1989,Nov,1990,Nov,7,,,0,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Shallow,1,1,,,,,,,,,,,269,acres,100,m^2,1990,Nov,1992,Nov,5,,,0,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1990,Nov,1992,Nov,3,,,6,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1990,Nov,1992,Nov,3,,,0,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1990,Nov,1992,Nov,0,,,0,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Shallow,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,0,,,7,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,6,,,4,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,0,,,3,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1992,Nov,1993,Nov,0,,,4,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Shallow,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,7,,,7,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Mid,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,4,,,5,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Deep,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,3,,,4,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,1,0,0,0,0,NA,NA,benthic macroinvertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 3,Topanga,1,1,,,,,,,,,,,269,acres,100,m^2,1993,Nov,1995,Nov,4,,,4,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,0,1,0,0,0,NA,NA,turf invertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 4,Shallow,12,12,,,,,,,,,,,269,acres,1,m^2,1989,Nov,1990,Nov,10,,,8,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,0,1,0,0,0,NA,NA,turf invertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 4,Mid,12,12,,,,,,,,,,,269,acres,1,m^2,1989,Nov,1990,Nov,4,,,8,,,,,,,,,,,,,,,,,,,,
JD,693,"Bedford, et al., 2006",AH,0,0,0,0,0,0,1,0,0,0,NA,NA,turf invertebrates,rocky subtidal,34.013056,-118.5425,Southern California,Yes,Artificial rock reef built,Yes,1987,"Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.",1,0,0,0,0,Table 4,Deep,12,12,,,,,,,,,,,269,acres,1,m^2,1989,Nov,1990,Nov,6,,,4,,,,,,,,,,,,,,,,,,,,
