TI,Completed?,Study Used?,Study ID,Author.Year,Filtered,Database,Authors,Title,Journal,Volume,Issue,Start.Page,End.Page,Electronic.ID,DOI,Year,Initial Notes,Reason for Rejection,Additional Notes,Part of a Long-Term Sampling Project?,"If part of a project, what is the project's name?"
Aaron,Yes,No,94,Schaffler et al. 2013,Alexa,ISI,"Schaffler, Jason J.; van Montfrans, Jacques; Jones, Cynthia M.; Orth, Robert J.",Fish Species Distribution in Seagrass Habitats of Chesapeake Bay are Structured by Abiotic and Biotic Factors,MARINE AND COASTAL FISHERIES,5,1,114,124,,10.1080/19425120.2013.804013,2013,,,,,
Aaron,Yes,No,100,Crocetta et al. 2013,Alexa,ISI,"Crocetta, Fabio; Bitar, Ghazi; Zibrowius, Helmut; Oliverio, Marco",Biogeographical homogeneity in the eastern Mediterranean Sea. II. Temporal variation in Lebanese bivalve biota,AQUATIC BIOLOGY,19,1,75,U109,,10.3354/ab00521,2013,,,,,
Aaron,Yes,No,103,Nourinezhad et al. 2013,Alexa,ISI,"Nourinezhad, M.; Nabavi, S. M. B.; Vosughi, Gh; Fatemi, M. R.; Sohrabi, M.","Identification and estimation of macrofauna in low tides of Bushehr province, Persian Gulf",IRANIAN JOURNAL OF FISHERIES SCIENCES,12,2,411,429,,,2013,,,,,
Aaron,Yes,"Yes
",136,Lopez-Rasgado et al. 2012,Alexa,ISI,"Lopez-Rasgado, F. J.; Herzka, S. Z.; Del-Monte-Luna, P.; Serviere-Zaragoza, E.; Balart, E. F.; Lluch-Cota, S. E.",FISH ASSEMBLAGES IN THREE ARID MANGROVE SYSTEMS OF THE GULF OF CALIFORNIA: COMPARING OBSERVATIONS FROM 1980 AND 2010,BULLETIN OF MARINE SCIENCE,88,4,919,945,,10.5343/bms.2011.1111,2012,,,,,
Aaron,Yes,No,147,Lee et al. 2012,Alexa,ISI,"Lee, Matthew R.; Riveros, Marcela",Latitudinal trends in the species richness of free-living marine nematode assemblages from exposed sandy beaches along the coast of Chile (18-42 degrees S),MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,33,3,317,325,,10.1111/j.1439-0485.2011.00497.x,2012,,,,,
Aaron,Yes,"Yes
",158,Sales et al. 2012,Alexa,ISI,"Sales, Marta; Ballesteros, Enric",Seasonal dynamics and annual production of Cystoseira crinita (Fucales: Ochrophyta)-dominated assemblages from the northwestern Mediterranean,SCIENTIA MARINA,76,2,391,401,,10.3989/scimar.03465.16D,2012,,,,,
Aaron,Yes,No,162,Chiba et al. 2012,Alexa,ISI,"Chiba, Sanae; Sugisaki, Hiroya; Kuwata, Akira; Tadokoro, Kazuaki; Kobari, Toru; Yamaguchi, Atsushi; Mackas, David L.",Pan-North Pacific comparison of long-term variation in Neocalanus copepods based on stable isotope analysis,PROGRESS IN OCEANOGRAPHY,97,,63,75,,10.1016/j.pocean.2011.11.007,2012,,,,,
Aaron,Yes,No,171,,Daniel,ISI,"Thibaut, Loic M.; Connolly, Sean R.; Sweatman, Hugh P. A.",Diversity and stability of herbivorous fishes on coral reefs,ECOLOGY,93,4,891,901,,,2012,,,,,
Aaron,Yes,"Yes
",181,,Daniel,ISI,"Diez, I.; Muguerza, N.; Santolaria, A.; Ganzedo, U.; Gorostiaga, J. M.",Seaweed assemblage changes in the eastern Cantabrian Sea and their potential relationship to climate change,ESTUARINE COASTAL AND SHELF SCIENCE,99,,108,120,,10.1016/j.ecss.2011.12.027,2012,,,,,
Aaron,Yes,No,190,,Daniel,ISI,"Pulina, S.; Padedda, B. M.; Satta, C. T.; Sechi, N.; Luglie, A.","Long-term phytoplankton dynamics in a Mediterranean eutrophic lagoon (Cabras Lagoon, Italy)",PLANT BIOSYSTEMS,146,,259,272,,10.1080/11263504.2012.717545,2012,,,,,
Aaron,Yes,No,199,,Daniel,S,"Grebmeier, Jacqueline M.",Shifting Patterns of Life in the Pacific Arctic and Sub-Arctic Seas,"ANNUAL REVIEW OF MARINE SCIENCE, VOL 4",4,,63,78,,10.1146/annurev-marine-120710-100926,2012,,,,,
Aaron,Yes,No,236,,Daniel,ISI,"Bluhm, Bodil A.; Gebruk, Andrey V.; Gradinger, Rolf; Hopcroft, Russell R.; Huettmann, Falk; Kosobokova, Ksenia N.; Sirenko, Boris I.; Weslawski, Jan Marcin",Arctic Marine Biodiversity: An Update of Species Richness and Examples of Biodiversity Change,OCEANOGRAPHY,24,3,232,248,,,2011,Review?,,,,
Aaron,Yes,No,239,,Daniel,ISI,"Forster, J.; Lake, I. R.; Watkinson, A. R.; Gill, J. A.",Marine biodiversity in the Caribbean UK overseas territories: Perceived threats and constraints to environmental management,MARINE POLICY,35,5,647,657,,10.1016/j.marpol.2011.02.005,2011,,,,,
Aaron,Yes,No,244,,Daniel,ISI,"Winget, Danielle M.; Helton, Rebekah R.; Williamson, Kurt E.; Bench, Shellie R.; Williamson, Shannon J.; Wommack, K. Eric",Repeating patterns of virioplankton production within an estuarine ecosystem,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,108,28,11506,11511,,10.1073/pnas.1101907108,2011,"Viruses, Bacteria",,,,
Aaron,Yes,No,250,,Daniel,ISI,"Grech, Alana; Coles, Rob","Interactions between a Trawl Fishery and Spatial Closures for Biodiversity Conservation in the Great Barrier Reef World Heritage Area, Australia",PLOS ONE,6,6,,,e21094,10.1371/journal.pone.0021094,2011,,,,,
Aaron,Yes,No,259,,Daniel,ISI,"Johannessen, Ola M.; Miles, Martin W.",Critical vulnerabilities of marine and sea ice-based ecosystems in the high Arctic,REGIONAL ENVIRONMENTAL CHANGE,11,,S239,S248,,10.1007/s10113-010-0186-5,2011,,,,,
Aaron,Yes,No,273,,Daniel,ISI,"Fassatoui, Chiheb; Mdelgi, Esma; Romdhane, Mohamed S.","Short-term temporal genetic investigation of two populations of Pagellus erythrinus (Linnaeus, 1758, Sparidae) from Western and Eastern Mediterranean basins off the Tunisian coast",MARINE BIOLOGY RESEARCH,7,2,147,158,PII 933277804,10.1080/17451001003762792,2011,,,,,
Aaron,Yes,No,275,,Daniel,ISI,"Satyanarayana, Behara; Koedam, Nico; De Smet, Kriki; Di Nitto, Diana; Bauwens, Maite; Jayatissa, Loku Pulukkuttige; Cannicci, Stefano; Dahdouh-Guebas, Farid",Long-term mangrove forest development in Sri Lanka: early predictions evaluated against outcomes using VHR remote sensing and VHR ground-truth data,MARINE ECOLOGY PROGRESS SERIES,443,,51,63,,10.3354/meps09397,2011,,,,,
Aaron,Yes,No,285,,Daniel,ISI,"Wilson, Brent","EFFECT OF HURRICANES ON GUILDS OF NEARSHORE EPIPHYTAL FORAMINIFERA, NEVIS, WEST INDIES",JOURNAL OF FORAMINIFERAL RESEARCH,40,4,327,343,,,2010,,,,,
Aaron,Yes,No,290,,Daniel,ISI,"O'Dor, Ron; Miloslavich, Patricia; Yarincik, Kristen","Marine Biodiversity and Biogeography - Regional Comparisons of Global Issues, an Introduction",PLOS ONE,5,8,,,e11871,10.1371/journal.pone.0011871,2010,,,,,
Aaron,Yes,No,293,,Daniel,ISI,"Marba, Nuria; Duarte, Carlos M.",Mediterranean warming triggers seagrass (Posidonia oceanica) shoot mortality,GLOBAL CHANGE BIOLOGY,16,8,2366,2375,,10.1111/j.1365-2486.2009.02130.x,2010,,,,,
Aaron,Yes,No,302,,Jillian,ISI,"Banaru, Daniela; Harmelin-Vivien, Mireille; Boudouresque, Charles F.",Man induced change in community control in the north-western Black Sea: The top-down bottom-up balance,MARINE ENVIRONMENTAL RESEARCH,69,4,262,275,,10.1016/j.marenvres.2009.11.009,2010,,No plot size because they used fisheries catch data. Could potentially use general area covered.,,,
Aaron,Yes,No,312,,Jillian,ISI,"Mellin, C.; Bradshaw, C. J. A.; Meekan, M. G.; Caley, M. J.",Environmental and spatial predictors of species richness and abundance in coral reef fishes,GLOBAL ECOLOGY AND BIOGEOGRAPHY,19,2,212,222,,10.1111/j.1466-8238.2009.00513.x,2010,"But again, mean species richness over several years pooled to create a heatmap",,,,
Aaron,Yes,No,315,,Jillian,ISI,"Goffredi, Shana K.; Orphan, Victoria J.",Bacterial community shifts in taxa and diversity in response to localized organic loading in the deep sea,ENVIRONMENTAL MICROBIOLOGY,12,2,344,363,,10.1111/j.1462-2920.2009.02072.x,2010,Bacteria (Whale fall),,,,
Aaron,Yes,No,325,,Jillian,ISI,"Coll, Marta; Santojanni, Alberto; Palomera, Isabel; Arneri, Enrico",Ecosystem assessment of the North-Central Adriatic Sea: towards a multivariate reference framework,MARINE ECOLOGY PROGRESS SERIES,417,,193,210,,10.3354/meps08800,2010,Kempton's index of biodiversity - usable?,,,,
Aaron,Yes,"Yes
",327,,Jillian,ISI,"Dupont, Jennifer M.; Hallock, Pamela; Jaap, Walter C.",Ecological impacts of the 2005 red tide on artificial reef epibenthic macroinvertebrate and fish communities in the eastern Gulf of Mexico,MARINE ECOLOGY PROGRESS SERIES,415,,189,200,,10.3354/meps08739,2010,Red tide disturbance,,,,
Aaron,Yes,No,336,,Jillian,ISI,"Jaramillo-GonzÃƒÂƒÃ‚Â¡lez, Juliana; Acosta, Alberto","COMPARACIÃƒÂƒÃ‚Â“N TEMPORAL EN LA ESTRUCTURA DE UNA COMUNIDAD CORALINA EN PRIMEROS ESTADOS DE SUCESIÃƒÂƒÃ‚Â“N, ISLA DE SAN ANDRÃƒÂƒÃ‚Â‰S, COLOMBIA",BoletÃƒÂƒÃ‚Â_n de Investigaciones Marinas y Costeras - INVEMAR,38,2,29,53,,,2009,In Spanish so should be checked. I just read the abstract,,,,
Aaron,Yes,No,338,,Jillian,ISI,"Nordhaus, Inga; Hadipudjana, Fadlan Aji; Janssen, Ronald; Pamungkas, Joko","Spatio-temporal variation of macrobenthic communities in the mangrove-fringed Segara Anakan lagoon, Indonesia, affected by anthropogenic activities",REGIONAL ENVIRONMENTAL CHANGE,9,4,291,313,,10.1007/s10113-009-0097-5,2009,But they aggregated 2004 and 2006 sampling.,,,,
Aaron,Yes,Yes,339,,Jillian,ISI,"Arones, Katia; Ayon, Patricia; Hirche, Hans-Juergen; Schwamborn, Ralf","Hydrographic structure and zooplankton abundance and diversity off Paita, northern Peru (1994 to 2004) - ENSO effects, trends and changes",JOURNAL OF MARINE SYSTEMS,78,4,582,598,,10.1016/j.jmarsys.2009.01.002,2009,,,,,
Aaron,Yes,Yes,347,,Jillian,ISI,"de Loma, Thierry Lison; Chabanet, Pascale; Ferraris, Jocelyne; Galzin, Rene; Harmelin-Vivien, Mireille",Long-term spatiotemporal variations in coral-reef fish community structure and fishing at a South Pacific atoll,AQUATIC LIVING RESOURCES,22,3,281,290,,10.1051/alr/2009037,2009,,,,,
Aaron,Yes,No,352,,Jillian,ISI,"Merckx, Bea; Goethals, Peter; Steyaert, Maaike; Vanreusel, Ann; Vincx, Magda; Vanaverbeke, Jan",Predictability of marine nematode biodiversity,ECOLOGICAL MODELLING,220,11,1449,1458,,10.1016/j.ecolmodel.2009.03.016,2009,But only presents mean species richness,,,,
Aaron,Yes,No,356,,Jillian,ISI,"Simonini, Roberto; Grandi, Valentina; Massamba-N'Siala, Gloria; Iotti, Mirko; Montanari, Giuseppe; Prevedelli, Daniela","Assessing the ecological status of the North-western Adriatic Sea within the European Water Framework Directive: a comparison of Bentix, AMBI and M-AMBI methods",MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,30,2,241,254,,10.1111/j.1439-0485.2009.00281.x,2009,,,,,
Aaron,Yes,Yes,369,,Jillian,ISI,"Bluhm, B. A.; Iken, K.; Hardy, S. Mincks; Sirenko, B. I.; Holladay, B. A.",Community structure of epibenthic megafauna in the Chukchi Sea,AQUATIC BIOLOGY,7,3,269,293,,10.3354/ab00198,2009,,,,,
Aaron,Yes,No,370,,Jillian,ISI,"Caron, David A.; Countway, Peter D.",Hypotheses on the role of the protistan rare biosphere in a changing world,AQUATIC MICROBIAL ECOLOGY,57,3,227,238,,10.3354/ame01352,2009,But Bacteria/microbial so we won't be using it,,,,
Aaron,Yes,No,374,,Jillian,ISI,"Ehrich, Siegfried; Stelzenmueller, Vanessa; Adlerstein, Sara",Linking spatial pattern of bottom fish assemblages with water masses in the North Sea,FISHERIES OCEANOGRAPHY,18,1,36,50,,10.1111/j.1365-2419.2008.00495.x,2009,They did these measures but I can't find the data,,,,
Aaron,Yes,No,391,,Jillian,ISI,"Phillips, A. Jason; Brodeur, Richard D.; Suntsov, Andrey V.",Micronekton community structure in the epipelagic zone of the northern California Current upwelling system,PROGRESS IN OCEANOGRAPHY,80,1/2/2014,74,92,,10.1016/j.pocean.2008.12.001,2009,,,,,
Aaron,Yes,No,392,,Jillian,ISI,"Farina Pestano, Angel Rafael; Mendez De Elgueazabal, Elizabeth","Seasonal variations of the community structure of fishes in two reefs: rocks-stone corals and octocorals, in Bajo Las Caracas, Venezuela",REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA,44,1,153,162,,,2009,I can't be sure because this article is in Spanish,,,,
Aaron,Yes,Yes,404,,Jillian,ISI,"Whomersley, Paul; Ware, Suzanne; Rees, Hubert L.; Mason, Claire; Bolam, Thi; Huxham, Mark; Bates, Helen","Biological indicators of disturbance at a dredged-material disposal site in Liverpool Bay, UK: an assessment using time-series data",ICES JOURNAL OF MARINE SCIENCE,65,8,1414,1420,,10.1093/icesjms/fsn125,2008,Dredged disposal site,,,,
Aaron,Yes,No,410,,Jillian,ISI,"Fisher, Jonathan A. D.; Frank, Kenneth T.; Petrie, Brian; Leggett, William C.; Shackell, Nancy L.",Temporal dynamics within a contemporary latitudinal diversity gradient,ECOLOGY LETTERS,11,9,883,897,,10.1111/j.1461-0248.2008.01216.x,2008,But it's probably not local scale enough,,,,
Aaron,Yes,No,416,,Jillian,ISI,"Vaulot, Daniel; Eikrem, Wenche; Viprey, Manon; Moreau, Herve",The diversity of small eukaryotic phytoplankton (<= 3 mu m) in marine ecosystems,FEMS MICROBIOLOGY REVIEWS,32,5,795,820,,10.1111/j.1574-6976.2008.00121.x,2008,But paleontological with poor taxonomic resolution,,,,
Aaron,Yes,No,417,,Jillian,ISI,"Collie, Jeremy S.; Wood, Anthony D.; Jeffries, H. Perry",Long-term shifts in the species composition of a coastal fish community,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,65,7,1352,1365,,10.1139/F08-048,2008,,,,,
Aaron,Yes,No,430,,Marc,ISI,"Bhathal, Brajgeet; Pauly, Daniel","Fishing down marine food webs' and spatial expansion of coastal fisheries in India, 1950-2000",FISHERIES RESEARCH,91,1,26,34,,10.1016/j.fishres.2007.10.022,2008,data isnt there but might be accessible.  Could be great,,,,
Aaron,Yes,Yes,446,,Marc,ISI,"Cardoso, P. G.; Raffaelli, D.; Lillebo, A. I.; Verdelhos, T.; Pardal, M. A.",The impact of extreme flooding events and anthropogenic stressors on the macrobenthic communities' dynamics,ESTUARINE COASTAL AND SHELF SCIENCE,76,3,553,565,,10.1016/j.ecss.2007.07.026,2008,Fig 5,,,,
Aaron,Yes,Yes,448,,Marc,ISI,"Hagan, Stacy Moore; Able, Kenneth W.",Diel variation in the pelagic fish assemblage in a temperate estuary,ESTUARIES AND COASTS,31,1,33,42,,10.1007/s12237-007-9018-3,2008,Only 1 year apart,,,,
Aaron,Yes,Yes,453,,Marc,ISI,"Kelly, Noreen; Metaxas, Anna",Diversity of invertebrate colonists on simple and complex substrates at hydrothermal vents on the Juan de Fuca Ridge,AQUATIC BIOLOGY,3,3,271,281,,10.3354/ab00085,2008,,,,,
Aaron,Yes,Yes,470,,Marc,ISI,"Kenchington, Ellen L.; Kenchington, Trevor J.; Henry, Lea-Anne; Fuller, Susanna; Gonzalez, Patricia",Multi-decadal changes in the megabenthos of the Bay of Fundy: The effects of fishing,JOURNAL OF SEA RESEARCH,58,3,220,240,,10.1016/j.seares.2007.04.001,2007,,,,,
Aaron,Yes,No,472,,Marc,ISI,"Flores-RodrÃƒÂƒÃ‚Â_guez, Pedro; Flores-Garza, Rafael; GarcÃƒÂƒÃ‚Â_a-IbÃƒÂƒÃ‚Â¡ÃƒÂƒÃ‚Â±ez, Sergio; ValdÃƒÂƒÃ‚Â©s-GonzÃƒÂƒÃ‚Â¡lez, Arcadio","VariaciÃƒÂƒÃ‚Â_n en la diversidad malacolÃƒÂƒÃ‚Â_gica del mesolitoral rocoso en Playa Troncones, La UniÃƒÂƒÃ‚Â_n, Guerrero, MÃƒÂƒÃ‚Â©xico",Revista mexicana de biodiversidad,78,Suppl. v. oct,33,40,,,2007,"only 1 year.  Entry below is same, just in english",,,,
Aaron,Yes,No,473,,Marc,ISI,"Flores-Rodriguez, Pedro; Flores-Garza, Rafael; Garcia-Ibanez, Sergio; Valdes-Gonzalez, Areadio","Variation in the diversity of mollusks from the rocky intertidial of Playa Troncones, La Union, Guerrero, Mexico",REVISTA MEXICANA DE BIODIVERSIDAD,78,,33S,40S,,,2007,see above,,,,
Aaron,Yes,Yes,497,,Marc,ISI,"Mazik, K.; Smith, J. E.; Leighton, A.; Elliott, M.","Physical and biological development of a newly breached managed realignment site, Humber estuary, UK",MARINE POLLUTION BULLETIN,55,10/12/2014,564,578,,10.1016/j.marpolbul.2007.09.017,2007,,,,,
Aaron,Yes,No,509,,Marc,ISI,"Beldade, R.; Erzini, K.; Goncalves, E. J.",Composition and temporal dynamics of a temperate rocky cryptobenthic fish assemblage,JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,86,5,1221,1228,,10.1017/S0025315406014226,2006,one year,,,,
Aaron,Yes,Yes,524,,Marc,ISI,"Hawkins, JP; Roberts, CM; Dytham, C; Schelten, C; Nugues, MM",Effects of habitat characteristics and sedimentation on performance of marine reserves in St. Lucia,BIOLOGICAL CONSERVATION,127,4,487,499,,10.1016/j.biocon.2005.09.008,2006,,,,,
Aaron,Yes,No,527,,Marc,ISI,"Dong Qiaoxiang; Lin Xiaoping; He Xin; Kelso, W. E.; Huang Changjiang","Taxonomic composition, abundance and biomass of mesozooplankton in the Zhelin Bay - an estuary with intensive aquaculture",ACTA OCEANOLOGICA SINICA,25,5,92,111,,,2006,one year,,,,
Aaron,No,No,536,,Patrick,ISI,"Nagelkerken, I; Vermonden, K; Moraes, OCC; Debrot, AO; Nagelkerken, WP","Changes in coral reef communities and an associated reef fish species, Cephalopholis cruentata (Lacepede), after 30 years on Curacao (Netherlands Antilles)",HYDROBIOLOGIA,549,,145,154,,10.1007/s10750-005-5448-8,2005,"20+ years of corals, only uses percent cover though",,,,
Aaron,Yes,Yes,538,,Patrick,ISI,"Jones, MV; West, RJ",Spatial and temporal variability of seagrass fishes in intermittently closed and open coastal lakes in southeastern Australia,ESTUARINE COASTAL AND SHELF SCIENCE,64,2/3/2014,277,288,,10.1016/j.ecss.2005.02.021,2005,These are coastal lakes. So some recieve salt water intrusion and some do not.,,,,
Aaron,No,,539,,Patrick,ISI,"Sampaio de Souza, Christiane; Mafalda Jr, Paulo; SallÃƒÂƒÃ‚Â©s, Soluna; Ramirez, Teodoro; CortÃƒÂƒÃ‚Â©s, Dolores; Garcia, AntÃƒÂƒÃ‚Â´nio; Mercado, Jesus; Vargas-YaÃƒÂƒÃ‚Â±ez, Manuel","Tendencias estacionales y espaciales en la comunidad mesozooplanctÃƒÂƒÃ‚Â_nica en una serie temporal plurianual en el noroeste del Mar de AlborÃƒÂƒÃ‚Â¡n, EspaÃƒÂƒÃ‚Â±a",Revista de biologÃƒÂƒÃ‚Â_a marina y oceanografÃƒÂƒÃ‚Â_a,40,1,45,54,,,2005,,,,,
Aaron,Yes,No,546,,Patrick,ISI,"Fuller, NJ; West, NJ; Marie, D; Yallop, M; Rivlin, T; Post, AF; Scanlan, DJ","Dynamics of community structure and phosphate status of picocyanobacterial populations in the Gulf of Aqaba, Red Sea",LIMNOLOGY AND OCEANOGRAPHY,50,1,363,375,,,2005,Microbial study,,,,
Aaron,Yes,Yes,547,,Patrick,ISI,"Miller, JA; Shanks, AL","Abundance and distribution of larval and juvenile fish in Coos Bay, Oregon: time-series analysis based on light-trap collections",MARINE ECOLOGY PROGRESS SERIES,305,,177,191,,10.3354/meps305177,2005,,,,,
Aaron,Yes,Yes,557,,Patrick,ISI,"Marchini, A; Gauzer, K; Occhipinti-Ambrogi, A","Spatial and temporal variability of hard-bottom macrofauna in a disturbed coastal lagoon (Sacca di Goro, Po River Delta, Northwestern Adriatic Sea)",MARINE POLLUTION BULLETIN,48,11/12/2014,1084,1095,,10.1016/j.marpolbul.2003.12.015,2004,Need to check paper to be certain,,,,
Aaron,Yes,Yes,571,,Patrick,ISI,"Cranmer, TL; Ruhl, HA; Baldwin, RJ; Kaufmann, RS","Spatial and temporal variation in the abundance, distribution and population structure of epibenthic megafauna in Port Foster, Deception Island",DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,50,10/11/2014,1821,1842,,10.1016/S0967-0645(03)00093-6,2003,Need to check,,,,
Aaron,Yes,No,573,,Patrick,ISI,"Head, EJH; Harris, LR; Yashayaev, I",Distributions of Calanus spp. and other mesozooplankton in the Labrador Sea in relation to hydrography in spring and summer (1995-2000),PROGRESS IN OCEANOGRAPHY,59,1,1,30,,10.1016/S0079-6611(03)00111-3,2003,Maybe,,,,
Aaron,Yes,No,585,,Patrick,ISI,"Handa, IT; Harmsen, R; Jefferies, RL",Patterns of vegetation change and the recovery potential of degraded areas in a coastal marsh system of the Hudson Bay lowlands,JOURNAL OF ECOLOGY,90,1,86,99,,10.1046/j.0022-0477.2001.00635.x,2002,Need to verify by reading,,,,
Aaron,Yes,No,589,,Patrick,ISI,"Espino-Barr, E; Ruiz-Luna, A; Garcia-Boa, A",Changes in tropical fish assemblages associated with small-scale fisheries: a case study in the Pacific off central Mexico,REVIEWS IN FISH BIOLOGY AND FISHERIES,12,4,393,401,,10.1023/A:1025355102004,2002,,,,,
Aaron,Yes,No,591,,Patrick,ISI,"Carter, JL; Fend, SV",Inter-annual changes in the benthic community structure of riffles and pools in reaches of contrasting gradient,HYDROBIOLOGIA,459,,187,200,,10.1023/A:1012535013043,2001,,,,,
Aaron,Yes,No,594,,Tenzing,ISI,"Vinson, MR",Long-term dynamics of an invertebrate assemblage downstream from a large dam,ECOLOGICAL APPLICATIONS,11,3,711,730,,10.2307/3061112,2001,"Invertebrates: 1960 to 200 richness,abundance. ",,,,
Aaron:- Tenzing did this one,Yes,Yes,596,,Tenzing,ISI,"Sano, M","Short-term responses of fishes to macroalgal overgrowth on coral rubble on a degraded reef at Iriomote Island, Japan",BULLETIN OF MARINE SCIENCE,68,3,543,556,,,2001,1997 to 1999 algae and fish,,,,
Aaron,Yes,No,606,,Tenzing,ISI,"Sarda, R; Pinedo, S; Gremare, A; Taboada, S",Changes in the dynamics of shallow sandy-bottom assemblages due to sand extraction in the Catalan Western Mediterranean Sea,ICES JOURNAL OF MARINE SCIENCE,57,5,1446,1453,,10.1006/jmsc.2000.0922,2000,macroinfaunal abundance,,,,
Aaron,Yes,No,656,,Tenzing,ISI,"SOUTHWARD, AJ; HAWKINS, SJ; BURROWS, MT",70 YEARS OBSERVATIONS OF CHANGES IN DISTRIBUTION AND ABUNDANCE OF ZOOPLANKTON AND INTERTIDAL ORGANISMS IN THE WESTERN ENGLISH-CHANNEL IN RELATION TO RISING SEA TEMPERATURE,JOURNAL OF THERMAL BIOLOGY,20,1/2/2014,127,155,,10.1016/0306-4565(94)00043-I,1995,Fig12,,,,
