-,Completed?,Study Used?,Study ID,Author.Year,Filtered,Database,Authors,Title,Reason Rejected
Alexa,,,661,,Jarrett,ISI,"MAURER, D; ROBERTSON, G; GERLINGER, T","LONG-TERM TEMPORAL AND SPATIAL FLUCTUATIONS OF SOFT-BOTTOM INFAUNAL INVERTEBRATES ASSOCIATED WITH AN OCEAN OUTFALL FROM THE SAN PEDRO SHELF, CALIFORNIA",
Alexa,Yes,No,724,,Aaron,Aquatic Commons,"Marancik, K., Richardson, D., Lyczkowski-Shultz, J., Cowen, R. and Konieczna, M.",Spatial and temporal distribution of grouper larvae (Serranidae: Epinephelinae: Epinephelini) in the Gulf of Mexico and Straits of Florida.,Only looks at one species
Alexa,Yes,No,731,,Aaron,Aquatic Commons,"Powell, A. and Robbins, R.","Ichthyoplankton Adjacent to LiveÌÄåâÌâå_Bottom Habitats in Onslow Bay, North Carolina.",Only one time point
Alexa,Yes,No,52,Do et al. 2013,Alexa,ISI,"Do, V. Tu; Blanchet, Hugues; de Montaudouin, Xavier; Lavesque, Nicolas",Limited Consequences of Seagrass Decline on Benthic Macrofauna and Associated Biotic Indicators,No yearly breakdown of species richness
Alexa,Yes,Yes,55,Chaudhuri et al. 2013,Alexa,ISI,"Chaudhuri, Atreyee; Mukherjee, Sudeshna; Homechaudhuri, Sumit",Seasonal dynamics of fish assemblages in an intertidal mudflat of Indian Sundarbans,
Alexa,Yes,No,74,Collie et al. 2013,Alexa,ISI,"Collie, Jeremy; Rochet, Marie-Joelle; Bell, Richard",Rebuilding fish communities: the ghost of fisheries past and the virtue of patience,Not a research paper
Alexa,Yes,No,83,Shephard et al. 2013,Alexa,ISI,"Shephard, Samuel; Fung, Tak; Rossberg, Axel G.; Farnsworth, Keith D.; Reid, David G.; Greenstreet, Simon P. R.; Warnes, Steve",Modelling recovery of Celtic Sea demersal fish community size-structure,Modeling paper
Alexa,Yes,No,91,Moore et al. 2013,Alexa,ISI,"Moore, Jeffrey E.; Barlow, Jay P.",Declining Abundance of Beaked Whales ( Family Ziphiidae) in the California Current Large Marine Ecosystem,Only one type of organism
Alexa,Yes,No,117,Verissimo et al. 2013,Alexa,ISI,"Verissimo, Helena; Lane, Michael; Patricio, Joana; Gamito, Sofia; Marques, Joao Carlos",Trends in water quality and subtidal benthic communities in a temperate estuary: Is the response to restoration efforts hidden by climate variability and the Estuarine Quality Paradox?,No yearly species data
Alexa,Yes,No,120,Camacho et al. 2012,Alexa,ISI,"Camacho, Antonio; Peinado, Raquel; Santamans, Anna C.; Picazo, Antonio",Functional ecological patterns and the effect of anthropogenic disturbances on a recently restored Mediterranean coastal lagoon. Needs for a sustainable restoration,No species data
Alexa,Yes,No,131,Zhou et al. 2012,Alexa,ISI,"Zhou, Hong; Zhang, Zhinan; Liu, Xiaoshou; Hua, Er","Decadal change in sublittoral macrofaunal biodiversity in the Bohai Sea, China",Inconsistent sampling through time - provide decadal averages (but not even comparable) and do not include yearly data
Alexa,Yes,No,133,Freund et al. 2012,Alexa,ISI,"Freund, Jan A.; Gruener, Nico; Bruese, Sabrina; Wiltshire, Karen H.","Changes in the phytoplankton community at Helgoland, North Sea: lessons from single spot time series analyses",No species diversity data
Alexa,Yes,No,141,Piazzi et al. 2012,Alexa,ISI,"Piazzi, L.; Cecchi, E.; Serena, F.",SPATIAL AND TEMPORAL PATTERNS OF DIVERSITY IN MEDITERRANEAN ROCKY REEF FISH ASSEMBLAGES,No yearly species data
Alexa,Yes,Yes,144,Burd et al. 2012,Alexa,ISI,"Burd, B.; Bertold, S.; Macdonald, T.","Responses of infaunal composition, biomass and production to discharges from a marine outfall over the past decade",
Alexa,Yes,No,148,Ruzicka et al. 2012,Alexa,ISI,"Ruzicka, James J.; Brodeur, Richard D.; Emmett, Robert L.; Steele, John H.; Zamon, Jeannette E.; Morgan, Cheryl A.; Thomas, Andrew C.; Wainwright, Thomas C.","Interannual variability in the Northern California Current food web structure: Changes in energy flow pathways and the role of forage fish, euphausiids, and jellyfish",Food web paper
Alexa,Yes,No,151,Francis et al. 2012,Alexa,ISI,"Francis, Tessa B.; Scheuerell, Mark D.; Brodeur, Richard D.; Levin, Phillip S.; Ruzicka, James J.; Tolimieri, Nick; Peterson, William T.",Climate shifts the interaction web of a marine plankton community,No species specific data given
Alexa,Yes,No,153,Chowdhury et al. 2012,Alexa,ISI,"Chowdhury, Chumki; Majumder, Natasha; Ray, Raghab; Jana, Tapan Kumar",Inter-annual abundance variation in some genera of diatom and zooplankton in a mangrove ecosystem,Only selected species data are presented
Alexa,Yes,No,176,,Daniel,ISI,"Schloss, Irene R.; Abele, Doris; Moreau, Sebastien; Demers, Serge; Bers, A. Valeria; Gonzalez, Oscar; Ferreyra, Gustavo A.",Response of phytoplankton dynamics to 19-year (1991-2009) climate trends in Potter Cove (Antarctica),No species diversity data
Alexa,Yes,No,177,,Daniel,ISI,"Eriksen, Elena; Prozorkevich, Dmitry; Trofimov, Aleksandr; Howell, Daniel","Biomass of Scyphozoan Jellyfish, and Its Spatial Association with 0-Group Fish in the Barents Sea",Focus on one guy
Alexa,Yes,No,189,,Daniel,ISI,"Burne, Robert V.; Johnson, Ken","Sea-level variation and the zonation of microbialites in Hamelin Pool, Shark Bay, Western Australia","Microbes!
"
Alexa,Yes,No,194,,Daniel,ISI,"Wiff, Rodrigo; Carlos Quiroz, Juan; Gatica, Claudio; Contreras, Francisco; Paramo, Jorge; Barrientos, Mauricio A.",Uncertain population dynamic and state variables of alfonsino (Beryx splendens),Only one organism
Marc,Yes,No,215,,Daniel,ISI,"Herrera Carmona, Julio CÌÄåÄÌâå©sar; Capella Alzueta, Juan JosÌÄåÄÌâå©; Soler, GermÌÄåÄÌâåÁn AndrÌÄåÄÌâå©s; Bessudo, Sandra; GarcÌÄåÄÌâå_a, Carolina; FlÌÄåÄÌâå_rez-GonzÌÄåÄÌâåÁlez, LiliÌÄåÄÌâåÁn",OCURRENCIA Y TASAS DE ENCUENTRO DE MAMÌÄåÄÌâåçFEROS MARINOS EN LAS AGUAS DE LA ISLA MALPELO Y HACIA EL CONTINENTE,"Multiple sampling methods were combined across years, with different time periods and methods"
Marc,Yes,No,235,,Daniel,ISI,"Staglicic, N.; Matic-Skoko, S.; Pallaoro, A.; Grgicevic, R.; Kraljevic, M.; Tutman, P.; Dragicevic, B.; Dulcic, J.",Long-term trends in the structure of eastern Adriatic littoral fish assemblages: Consequences for fisheries management,No species specific data given
Marc,Yes,No,237,,Daniel,ISI,"Louhi, Pauliina; Mykra, Heikki; Paavola, Riku; Huusko, Ari; Vehanen, Teppo; Maki-Petays, Aki; Muotka, Timo",Twenty years of stream restoration in Finland: little response by benthic macroinvertebrate communities,Not marine
Pat,Yes,No,242,,Daniel,ISI,"Banas, Neil S.",Adding complex trophic interactions to a size-spectral plankton model: Emergent diversity patterns and limits on predictability,Modeling paper
Pat,Yes,No,248,,Daniel,ISI,"Somarakis, Stylianos; Ramfos, Alexis; Palialexis, Andreas; Valavanis, Vasilis D.",Contrasting multispecies patterns in larval fish production trace inter-annual variability in oceanographic conditions over the NE Aegean Sea continental shelf (Eastern Mediterranean),Looks at larvae and doesn't identify the larvae
Pat,Yes,Yes,254,,Daniel,ISI,"Henderson, P. A.; Seaby, R. M. H.; Somes, J. R.",Community level response to climate change: The long-term study of the fish and crustacean community of the Bristol Channel,
Pat,Yes,No,258,,Daniel,ISI,"Broitman, Bernardo R.; Veliz, Fredy; Manzur, Tatiana; Wieters, Evie A.; Randall Finke, G.; Fornes, Paulina A.; Valdivia, Nelson; Navarrete, Sergio A.",Geographic variation in diversity of wave exposed rocky intertidal communities along central Chile,"Presents total results, does not break things apart temporally"
Pat,Yes,No,265,,Daniel,ISI,"Johnson, Catherine L.; Runge, Jeffrey A.; Curtis, K. Alexandra; Durbin, Edward G.; Hare, Jonathan A.; Incze, Lewis S.; Link, Jason S.; Melvin, Gary D.; O'Brien, Todd D.; Van Guelpen, Lou",Biodiversity and Ecosystem Function in the Gulf of Maine: Pattern and Role of Zooplankton and Pelagic Nekton,Review paper
Pat,Yes,No,266,,Daniel,ISI,"Atkinson, L. J.; Leslie, R. W.; Field, J. G.; Jarre, A.","Changes in demersal fish assemblages on the west coast of South Africa, 1986-2009",
Pat,Yes,No,274,,Daniel,ISI,"Rodrigues, Marcelo; Garci, Manuel E.; Troncoso, Jesus S.; Guerra, Angel",Seasonal abundance of the Atlantic bobtail squid Sepiola atlantica in Galician waters (NE Atlantic),Only looks at one organism
Pat,Yes,No,276,,Daniel,ISI,"Narayanaswamy, Bhavani E.; Renaud, Paul E.; Duineveld, Gerard C. A.; Berge, Jorgen; Lavaleye, Marc S. S.; Reiss, Henning; Brattegard, Torleiv",Biodiversity Trends along the Western European Margin,"A synthesis paper about diversity in a region, not a paper looking at diversity over time"
Pat,Yes,No,277,,Daniel,ISI,"Ferraro, Steven P.; Cole, Faith A.",Ecological periodic tables for nekton usage of four US Pacific Northwest estuarine habitats,"Only does a period of 3 months
"
Pat,Yes,No,283,,Daniel,ISI,"Abdussamad, E. M.; Pillai, N. G. K.; Mohammed, O. M. M. J. Habeeb; Jayabalan, K.",Sardines of the Gulf of Mannar ecosystem - fishery and resource characteristics of major species,Only looks at one species
Pat,Yes,No,296,,Jillian,ISI,"Beaugrand, Gregory; Edwards, Martin; Legendre, Louis","Marine biodiversity, ecosystem functioning, and carbon cycles",All data in heatmaps...yeah
Pat,Yes,No,297,,Jillian,ISI,"Valdovinos, Claudio; Kiessling, Andrea; Mardones, Maria; Moya, Carolina; Oyanedel, Alejandra; Salvo, Jacqueline; Olmos, Viviana; Parra, Oscar",Distribution of macroinvertebrates (Plecoptera and Aeglidae) in fluvial ecosystems of the Chilean Patagonia: Do they show biological signals of the postglacial geomorphological evolution?,This is not marine
Pat,Yes,No,301,,Jillian,ISI,"Widdicombe, C. E.; Eloire, D.; Harbour, D.; Harris, R. P.; Somerfield, P. J.",Long-term phytoplankton community dynamics in the Western English Channel,Bacterias
Pat,Yes,No,306,,Jillian,ISI,"De'ath, Glenn; Fabricius, Katharina",Water quality as a regional driver of coral biodiversity and macroalgae on the Great Barrier Reef,"Only has cover of algae and coral, no diversity estimates"
Pat,Yes,No,310,,Jillian,ISI,"Wiltshire, Karen Helen; Kraberg, Alexandra; Bartsch, Inka; Boersma, Maarten; Franke, Heinz-Dieter; Freund, Jan; Gebuehr, Christina; Gerdts, Gunnar; Stockmann, Karina; Wichels, Antje","Helgoland Roads, North Sea: 45 Years of Change",Changes sampling method twice in exp
Pat,Yes,No,342,,Jillian,ISI,"Paton, D. C.; Rogers, D. J.; Hill, B. M.; Bailey, C. P.; Ziembicki, M.","Temporal changes to spatially stratified waterbird communities of the Coorong, South Australia: implications for the management of heterogenous wetlands","While I love me some marshes, this is a fresh water marsh"
Pat,Yes,No,357,,Jillian,ISI,"Stobart, Ben; Warwick, Richard; Gonzalez, Cesar; Mallol, Sandra; Diaz, David; Renones, Olga; Goni, Raquel",Long-term and spillover effects of a marine protected area on an exploited fish community,There be no diversity in thsi paper
Pat,Yes,No,359,,Jillian,ISI,"d'Elbee, Jean; Castege, Iker; Hemery, Georges; Lalanne, Yann; Mouches, Claude; Pautrizel, Francoise; D'Amico, Frank",Variation and temporal patterns in the composition of the surface ichthyoplankton in the southern Bay of Biscay (W. Atlantic),
Pat,Yes,Yes,362,,Jillian,ISI,"Conversi, A.; Peluso, T.; Fonda-Umani, S.",Gulf of Trieste: A changing ecosystem,
Pat,Yes,Yes,366,,Jillian,ISI,"Frid, C. L. J.; Garwood, P. R.; Robinson, L. A.",The North Sea benthic system: a 36 year time-series,
Pat,Yes,No,376,,Jillian,ISI,"Jester, Rozalind; Lefebvre, Kathi; Langlois, Gregg; Vigilant, Veronica; Baugh, Keri; Silver, Mary W.",A shift in the dominant toxin-producing algal species in central California alters phycotoxins in food webs,Is a paper looking mostly at toxins and only focuses on <5 spcies.
Pat,Yes,No,380,,Jillian,ISI,"Guidi-Guilvard, L. D.; Thistle, D.; Khripounoff, A.; Gasparini, S.",Dynamics of benthic copepods and other meiofauna in the benthic boundary layer of the deep NW Mediterranean Sea,"Looked at biomass flux, not diversity"
Pat,Yes,No,399,,Jillian,ISI,"Mathieson, Arthur C.; Hehre, Edward J.; Dawes, Clinton J.; Neefus, Christopher D.","An historical comparison of seaweed populations from Casco Bay, Maine",
Pat,Yes,No,425,,Marc,ISI,"Dong, Junde; Zhang, Yanying; Wang, Youshao; Zhang, Si; Wang, Hankui","Spatial and seasonal variations of Cyanobacteria and their nitrogen fixation rates in Sanya Bay, South China Sea",Bacterias
Pat,Yes,No,429,,Marc,ISI,"Micheli, Fiorenza; Bishop, Melanie J.; Peterson, Charles H.; Rivera, Jose",Alteration of seagrass species composition and function over two decades,"Looked at plant metrics of two plants, not diversity"
Pat,Yes,No,432,,Marc,ISI,"Tsehaye, Yob; Nagelkerke, Leopold A. J.",Exploring optimal fishing scenarios for the multispecies artisanal fisheries of Eritrea using a trophic model,Modeling paper
Pat,Yes,No,433,,Marc,ISI,"Ruhl, Henry A.",Community change in the variable resource habitat of the abyssal northeast Pacific,Only has beta diversity
Pat,Yes,No,447,,Marc,ISI,"Sandvik, Hanno; Erikstad, Kjell Einar",Seabird life histories and climatic fluctuations: a phylogenetic-comparative time series analysis of North Atlantic seabirds,"Not a biodiversity paper, morte of a life history and physiologial response paper"
Pat,Yes,No,451,,Marc,ISI,"McClanahan, T. R.",Response of the coral reef benthos and herbivory to fishery closure management and the 1998 ENSO disturbance,Doesn't identify species
Pat,Yes,No,460,,Marc,ISI,"Salvat, Bernard; Aubanel, Annie; Adjeroud, Mehdi; Bouisset, Patrick; Calmet, Dominique; Chancerelle, Yannick; Cochennec, Nathalie; Davies, Neil; Fougerousse, Anglique; Galzin, Rene; Lagouy, Elodie; Lo, Cedrik; Monier, Christian; Ponsonnet, Cedric; Remoissenet, Georges; Schneider, Denis; Stein, Arsene; Tatarata, Miri; Villiers, Laurent",Monitoring of French Polynesia coral reefs and their recent development,"Only has percent cover of area, nothing about diversity of corals"
Pat,Yes,No,461,,Marc,ISI,"Gascuel, D.; Labrosse, P.; Meissa, B.; Sidl, M. O. Taleb; Guenette, S.",Decline of demersal resources in North-West Africa: an analysis of Mauritanian trawl-survey data over the past 25 years,Changed sampling methods a lot!
Pat,Yes,No,467,,Marc,ISI,"Mumby, Peter J.; Hastings, Alan; Edwards, Helen J.",Thresholds and the resilience of Caribbean coral reefs,Modeling paper
Pat,Yes,No,468,,Marc,ISI,"Link, Jason. S.","Underappreciated species in ecology: ""ugly fish"" in the northwest Atlantic Ocean",Doesn't have any data
Pat,Yes,Yes,469,,Marc,ISI,"Ponti, Massimo; Colangelo, Marina Antonia; Ceccherelli, Victor Ugo","Composition, biomass and secondary production of the macrobenthic invertebrate assemblages in a coastal lagoon exploited for extensive aquaculture: Valle Smarlacca (northern Adriatic Sea)",
Pat,Yes,No,471,,Marc,ISI,"Pranovi, Fabio; Da Ponte, Filippo; Torricelli, Patrizia",Application of biotic indices and relationship with structural and functional features of macrobenthic community in the lagoon of Venice: an example over a long time series of data,No diversity datas
Pat,Yes,No,474,,Marc,ISI,"Zhang, B.; Tang, Q.; Jin, X.",Decadal-scale variations of trophic levels at high trophic levels in the Yellow Sea and the Bohai Sea ecosystem,Its a trophic level paper and doesn't have any species data
Pat,Yes,Yes,477,,Marc,ISI,"Labrune, C.; Gremare, A.; Guizien, K.; Amouroux, J. M.",Long-term comparison of soft bottom macrobenthos in the Bay of Banyuls-sur-Mer (north-western Mediterranean Sea): A reappraisal,
Pat,Yes,No,480,,Marc,ISI,"Castilla, J. C.; Campo, M. A.; Bustamante, R. H.","Recovery of Durvillaea antarctica (Durvilleales) inside and outside Las Cruces marine reserve, Chile","Only looks at one species
"
Pat,Yes,Yes,482,,Marc,ISI,"Dolbeth, M.; Cardoso, P. G.; Ferreira, S. M.; Verdelhos, T.; Raffaelli, D.; Pardal, M. A.",Anthropogenic and natural disturbance effects on a macrobenthic estuarine community over a 10-year period,
Pat,Yes,No,501,,Marc,ISI,"Worm, Boris; Barbier, Edward B.; Beaumont, Nicola; Duffy, J. Emmett; Folke, Carl; Halpern, Benjamin S.; Jackson, Jeremy B. C.; Lotze, Heike K.; Micheli, Fiorenza; Palumbi, Stephen R.; Sala, Enric; Selkoe, Kimberley A.; Stachowicz, John J.; Watson, Reg",Impacts of biodiversity loss on ocean ecosystem services,A synthesis paper looking at ecosystem function
Pat,Yes,No,505,,Marc,ISI,"Schoch, G. Carl; Menge, Bruce A.; Allison, Gary; Kavanaugh, Maria; Thompson, Sarah Ann; Wood, Spencer A.",Fifteen degrees of separation: Latitudinal gradients of rocky intertidal biota along the California Current,Data is in crazy format that is unusuble
Pat,Yes,No,513,,Marc,ISI,"Levin, Phillip S.; Holmes, Elizabeth E.; Piner, Kevin R.; Harvey, Chris J.",Shifts in a Pacific ocean fish assemblage: the potential influence of exploitation,"No diversity data, only trends in biomass"
Pat,Yes,No,515,,Marc,ISI,"Wang, Zhaohui; Qi, Yuzao; Chen, Jufeng; Xu, Ning; Yang, Yufeng","Phytoplankton abundance, community structure and nutrients in cultural areas of Daya Bay, South China Sea",Microbes
Pat,Yes,Yes,516,,Marc,ISI,"Bigot, Lionel; Conand, Chantal; Amouroux, Jean Michel; Frouin, Patrick; Bruggemann, Henrich; Gremare, Antoine",Effects of industrial outfalls on tropical macrobenthic sediment communities in Reunion Island (Southwest Indian Ocean),
Pat,Yes,No,521,,Marc,ISI,"Garcia, Alexandre M.; Bemvenuti, Marlise A.; Vieira, Joao P.; Marques, David M. L. Motta; Burns, Marcelo D. M.; Moresco, Alex; Condini, Mario Vinicius L.","Checklist comparison and dominance patterns of the fish fauna at Taim Wetland, South Brazil",Just a species list
Pat,Yes,No,522,,Marc,ISI,"Bailey, DM; Ruhl, HA; Smith, KL",Long-term change in benthopelagic fish abundance in the abyssal northeast Pacific Ocean,Does not have the data needed
Pat,Yes,No,526,,Marc,ISI,"Thornhill, DJ; LaJeunesse, TC; Kemp, DW; Fitt, WK; Schmidt, GW","Multi-year, seasonal genotypic surveys of coral-algal symbioses reveal prevalent stability or post-bleaching reversion",This is a genetics paper
Pat,Yes,No,530,,Marc,ISI,"Auth, Toby D.; Brodeur, Richard D.","Distribution and community structure of ichthyoplankton off the coast of Oregon, USA, in 2000 and 2002","Only looks at beta diversity, does not ID the organisms to Sp level"
Pat,Yes,No,531,,Marc,ISI,"Williams, I. D.; Walsh, W. J.; Miyasaka, A.; Friedlander, A. M.","Effects of rotational closure on coral reef fishes in Waikiki-Diamond Head Fishery Management Area, Oahu, Hawaii",Only look at biomass
Pat,Yes,No,555,,Patrick,ISI,"Perus, J; Bonsdorff, E","Long-term changes in macrozoobenthos in the Aland archipelago, northern Baltic Sea",Changes sampling method 3x
Pat,Yes,No,570,,Patrick,ISI,"Rueda, JL; Salas, C",Temporal dynamics of molluscan assemblages from soft and bioclastic bottoms in the Strait of Gibraltar,Can't get and in French
Pat,Yes,Yes,584,,Patrick,ISI,"Raso, JEG; Manjon-Cabeza, ME",An infralittoral decapod crustacean community of Southern Spain affected by anthropogenic disturbances,
Pat,Yes,No,590,,Patrick,ISI,"Solana-Sansores, R","Spatial patterns of the epipelagic species caught incidentally in the tuna fishery on floating objects, in the eastern Pacific Ocean","No temporal component, sampled different sites
"
Pat,Yes,No,622,,Tenzing,ISI,"Phillips, JA; Conacher, C; Horrocks, J","Marine macroalgae from the Gulf of Carpentaria, tropical northern Australia",Never sampled the same site twice...can't really compare diversity over time
Pat,Yes,No,632,,Tenzing,ISI,"Debrot, AO; Kuenen, MMCE; Dekker, K","Recent declines in the coral fauna of the Spaanse Water, Curacao, Netherlands Antilles","Only looked at areal cover, not diversity of coral"
Pat,Yes,No,639,,Jarrett,ISI,"Pearson, TH; Mannvik, HP",Long-term changes in the diversity and faunal structure of benthic communities in the northern North Sea: natural variability or induced instability?,"Just looked at beta diversity, no richness"
Pat,Yes,No,640,,Tenzing,ISI,"Padisak, J; Krienitz, L; Scheffler, W; Koschel, R; Kristiansen, J; Grigorszky, I",Phytoplankton succession in the oligotrophic Lake Stechlin (Germany) in 1994 and 1995,Microbes
Jillian,Yes,No,645,,Tenzing,ISI,"Leslie, AJ; Crisman, TL; Prenger, JP; Ewel, KC",Benthic macroinvertebrates of small Florida pondcypress swamps and the influence of dry periods,Not marine
