"","year","Genus","species","site","T = abundance"
"110","2004","Chaetodon","ocellatus","B","1"
"111","2004","Diplodus","holbrookii","B",NA
"112","2004","Pseudupeneus","maculatus","B","2"
"113","2004","Scorpaena","plumieri","B",NA
"114","2004","Rhinesomus","bicaudalis","B",NA
"115","2004","Holocentrus","adscensionis","B",NA
"116","2004","Sparisoma","viride","B","6"
"117","2004","Haemulon","striatum","B",NA
"118","2004","Scarus","iseri","B","9"
"119","2004","Megalops","atlanticus","B",NA
"120","2004","Stegastes","planifrons","B",NA
"121","2004","Elacatinus","macrodon","B",NA
"122","2004","Haemulon","aurolineatum","B","469"
"123","2004","Apogon","pseudomaculatus","B","1"
"124","2004","Haemulon","plumierii","B","49"
"125","2004","Haemulon","album","B",NA
"126","2004","Mulloidichthys","martinicus","B","3"
"127","2004","Carangoides","bartholomaei","B","6"
"128","2004","Urobatis","jamaicensis","B",NA
"129","2004","Gerres","cinereus","B","50"
"130","2004","Microspathodon","chrysurus","B",NA
"131","2004","Ocyurus","chrysurus","B","6"
"132","2005","Chaetodipterus","faber","B","2"
"133","2005","Diodon","holocanthus","B","3"
"134","2005","Paraclinus","fasciatus","B",NA
"135","2005","Sphoeroides","spengleri","B",NA
"136","2005","Carangoides","ruber","B","8"
"137","2005","Stegastes","leucostictus","B","19"
"138","2005","Kyphosus","sectatrix","B","10"
"139","2005","Stegastes","partitus","B",NA
"140","2005","Anisotremus","surinamensis","B","7"
"141","2005","Halichoeres","poeyi","B",NA
"142","2005","Holacanthus","bermudensis","B","1"
"143","2005","Chromis","cyanea","B",NA
"144","2005","Ptereleotris","calliura","B","1"
"145","2005","Caranx","crysos","B",NA
"146","2005","Acanthurus","coeruleus","B","17"
"147","2005","Thalassoma","bifasciatum","B","52"
"148","2005","Haemulon","sciurus","B","8"
"149","2005","Coryphopterus","glaucofraenum","B","2"
"150","2005","Sparisoma","radians","B","3"
"151","2005","Hypoplectrus","unicolor","B",NA
"152","2005","Haemulon","carbonarium","B",NA
"153","2005","Scomberomorus","regalis","B",NA
"154","2005","Halichoeres","maculipinna","B","3"
"155","2005","Stegastes","variabilis","B","28"
"156","2005","Coryphopterus","dicrus","B",NA
"157","2005","Caranx","hippos","B","1"
"158","2005","Stegastes","sp.","B",NA
"159","2005","Ctenogobius","saepepallens","B",NA
"160","2005","Acanthurus","chirurgus","B","51"
"161","2005","Stegastes","adustus","B","20"
"162","2005","Opistognathus","whitehursti","B",NA
"163","2005","Apogon","maculatus","B",NA
"164","2005","Pomacanthus","paru","B","7"
"165","2005","Haemulon","<U+FB02>avolineatum","B","61"
"166","2005","Gnatholepis","thompsoni","B",NA
"167","2005","Pomacanthus","arcuatus","B","8"
"168","2005","Lutjanus","griseus","B","28"
"169","2005","Balistes","capriscus","B","19"
"170","2005","Cephalopholis","cruentata","B",NA
"171","2005","Sphyraena","barracuda","B",NA
"172","2005","Seriola","dumerili","B","3"
"173","2005","Rypticus","saponaceus","B",NA
"174","2005","Gymnothorax","funebris","B",NA
"175","2005","Xyrichtys","splendens","B",NA
"176","2005","Serranus","tigrinus","B",NA
"177","2005","Pareques","acuminatus","B","1"
"178","2005","Lachnolaimus","maximus","B","1"
"179","2005","Ptereleotris","helenae","B",NA
"180","2005","Synodus","foetens","B",NA
"181","2005","Haemulon","spp.","B","659"
"182","2005","Callionymus","bairdi","B",NA
"183","2005","Lutjanus","synagris","B","39"
"184","2005","Serranus","baldwini","B",NA
"185","2005","Synodus","spp.","B",NA
"186","2005","Stegastes","diencaeus","B",NA
"187","2005","Lutjanus","mahogoni","B",NA
"188","2005","Coryphopterus","personatus","B",NA
"189","2005","Scarus","coelestinus","B",NA
"190","2005","Eucinostomus","lefroyi","B",NA
"191","2005","Lutjanus","analis","B",NA
"192","2005","Elacatinus","oceanops","B","2"
"193","2005","Ginglymostoma","cirratum","B",NA
"194","2005","Acanthurus","bahianus","B","50"
"195","2005","Scaridae","spp.","B",NA
"196","2005","Bothus","lunatus","B",NA
"197","2005","Lagodon","rhomboides","B","2"
"198","2005","Stephanolepis","hispidus","B",NA
"199","2005","Diodon","hystrix","B",NA
"200","2005","Calamus","spp.","B",NA
"201","2005","Anisotremus","virginicus","B","68"
"202","2005","Scarus","taeniopterus","B","6"
"203","2005","Halichoeres","radiatus","B","2"
"204","2005","Holacanthus","ciliaris","B","5"
"205","2005","Scarus","guacamaia","B",NA
"206","2005","Xyrichtys","spp.","B",NA
"207","2005","Epinephelus","morio","B","1"
"208","2005","Sparisoma","rubripinne","B","2"
"209","2005","Sparisoma","aurofrenatum","B",NA
"210","2005","Chaetodon","sedentarius","B",NA
"211","2005","Odontoscion","dentex","B",NA
"212","2005","Holacanthus","tricolor","B",NA
"213","2005","Malacoctenus","macropus","B","1"
"214","2005","Xyrichtys","martinicensis","B",NA
"215","2005","Acanthemblemaria","aspera","B","3"
"216","2005","Enneanectes","boehlkei","B",NA
"217","2005","Malacoctenus","triangulatus","B",NA
"218","2005","Emblemaria","pandionis","B",NA
"219","2005","Haemulon","parra","B","11"
"220","2005","Synodus","intermedius","B",NA
"221","2005","Diplectrum","formosum","B",NA
"222","2005","Calamus","calamus","B",NA
"223","2005","Mycteroperca","phenax","B","1"
"224","2005","Lutjanus","apodus","B",NA
"225","2005","Acanthostracion","quadricornis","B","1"
"226","2005","Archosargus","rhomboidalis","B","9"
"227","2005","Parablennius","marmoreus","B","3"
"228","2005","Microgobius","carri","B","2"
"229","2005","Abudefduf","saxatilis","B","14"
"230","2005","Canthigaster","rostrata","B","10"
"231","2005","Diplodus","argenteus","B",NA
"232","2005","Monacanthus","tuckeri","B",NA
"233","2005","Eucinostomus","jonesii","B","15"
"234","2005","Halichoeres","bivittatus","B","75"
"235","2005","Haemulon","chrysargyreum","B",NA
"236","2005","Rhinesomus","triqueter","B",NA
"237","2005","Dasyatis","americana","B","2"
"238","2005","Haemulon","macrostomum","B",NA
"239","2005","Bodianus","rufus","B",NA
"240","2005","Scomberomorus","maculatus","B",NA
"241","2005","Chaetodon","ocellatus","B",NA
"242","2005","Diplodus","holbrookii","B","4"
"243","2005","Pseudupeneus","maculatus","B","2"
"244","2005","Scorpaena","plumieri","B","1"
"245","2005","Rhinesomus","bicaudalis","B",NA
"246","2005","Holocentrus","adscensionis","B","1"
"247","2005","Sparisoma","viride","B","4"
"248","2005","Haemulon","striatum","B",NA
"249","2005","Scarus","iseri","B","2"
"250","2005","Megalops","atlanticus","B","2"
"251","2005","Stegastes","planifrons","B","1"
"252","2005","Elacatinus","macrodon","B","1"
"253","2005","Haemulon","aurolineatum","B","242"
"254","2005","Apogon","pseudomaculatus","B",NA
"255","2005","Haemulon","plumierii","B","53"
"256","2005","Haemulon","album","B","1"
"257","2005","Mulloidichthys","martinicus","B",NA
"258","2005","Carangoides","bartholomaei","B","3"
"259","2005","Urobatis","jamaicensis","B","1"
"260","2005","Gerres","cinereus","B","7"
"261","2005","Microspathodon","chrysurus","B",NA
"262","2005","Ocyurus","chrysurus","B","5"
"263","2006","Chaetodipterus","faber","B","1"
"264","2006","Diodon","holocanthus","B","6"
"265","2006","Paraclinus","fasciatus","B",NA
"266","2006","Sphoeroides","spengleri","B",NA
"267","2006","Carangoides","ruber","B","15"
"268","2006","Stegastes","leucostictus","B","44"
"269","2006","Kyphosus","sectatrix","B","3"
"270","2006","Stegastes","partitus","B","2"
"271","2006","Anisotremus","surinamensis","B","3"
"272","2006","Halichoeres","poeyi","B",NA
"273","2006","Holacanthus","bermudensis","B",NA
"274","2006","Chromis","cyanea","B",NA
"275","2006","Ptereleotris","calliura","B",NA
"276","2006","Caranx","crysos","B",NA
"277","2006","Acanthurus","coeruleus","B","17"
"278","2006","Thalassoma","bifasciatum","B","80"
"279","2006","Haemulon","sciurus","B","9"
"280","2006","Coryphopterus","glaucofraenum","B","23"
"281","2006","Sparisoma","radians","B","8"
"282","2006","Hypoplectrus","unicolor","B","1"
"283","2006","Haemulon","carbonarium","B",NA
"284","2006","Scomberomorus","regalis","B",NA
"285","2006","Halichoeres","maculipinna","B","4"
"286","2006","Stegastes","variabilis","B","56"
"287","2006","Coryphopterus","dicrus","B",NA
"288","2006","Caranx","hippos","B",NA
"289","2006","Stegastes","sp.","B",NA
"290","2006","Ctenogobius","saepepallens","B",NA
"291","2006","Acanthurus","chirurgus","B","15"
"292","2006","Stegastes","adustus","B","20"
"293","2006","Opistognathus","whitehursti","B","3"
"294","2006","Apogon","maculatus","B",NA
"295","2006","Pomacanthus","paru","B",NA
"296","2006","Haemulon","<U+FB02>avolineatum","B","158"
"297","2006","Gnatholepis","thompsoni","B",NA
"298","2006","Pomacanthus","arcuatus","B","7"
"299","2006","Lutjanus","griseus","B","9"
"300","2006","Balistes","capriscus","B","15"
"301","2006","Cephalopholis","cruentata","B",NA
"302","2006","Sphyraena","barracuda","B",NA
"303","2006","Seriola","dumerili","B",NA
"304","2006","Rypticus","saponaceus","B",NA
"305","2006","Gymnothorax","funebris","B",NA
"306","2006","Xyrichtys","splendens","B",NA
"307","2006","Serranus","tigrinus","B",NA
"308","2006","Pareques","acuminatus","B","1"
"309","2006","Lachnolaimus","maximus","B","4"
"310","2006","Ptereleotris","helenae","B",NA
"311","2006","Synodus","foetens","B",NA
"312","2006","Haemulon","spp.","B","317"
"313","2006","Callionymus","bairdi","B",NA
"314","2006","Lutjanus","synagris","B","41"
"315","2006","Serranus","baldwini","B",NA
"316","2006","Synodus","spp.","B",NA
"317","2006","Stegastes","diencaeus","B",NA
"318","2006","Lutjanus","mahogoni","B","1"
"319","2006","Coryphopterus","personatus","B","1"
"320","2006","Scarus","coelestinus","B","1"
"321","2006","Eucinostomus","lefroyi","B",NA
"322","2006","Lutjanus","analis","B",NA
"323","2006","Elacatinus","oceanops","B","1"
"324","2006","Ginglymostoma","cirratum","B",NA
"325","2006","Acanthurus","bahianus","B","54"
"326","2006","Scaridae","spp.","B",NA
"327","2006","Bothus","lunatus","B",NA
"328","2006","Lagodon","rhomboides","B","1"
"329","2006","Stephanolepis","hispidus","B",NA
"330","2006","Diodon","hystrix","B",NA
"331","2006","Calamus","spp.","B",NA
"332","2006","Anisotremus","virginicus","B","93"
"333","2006","Scarus","taeniopterus","B","1"
"334","2006","Halichoeres","radiatus","B","1"
"335","2006","Holacanthus","ciliaris","B","3"
"336","2006","Scarus","guacamaia","B","2"
"337","2006","Xyrichtys","spp.","B",NA
"338","2006","Epinephelus","morio","B","1"
"339","2006","Sparisoma","rubripinne","B",NA
"340","2006","Sparisoma","aurofrenatum","B","16"
"341","2006","Chaetodon","sedentarius","B",NA
"342","2006","Odontoscion","dentex","B","5"
"343","2006","Holacanthus","tricolor","B",NA
"344","2006","Malacoctenus","macropus","B","1"
"345","2006","Xyrichtys","martinicensis","B",NA
"346","2006","Acanthemblemaria","aspera","B",NA
"347","2006","Enneanectes","boehlkei","B","1"
"348","2006","Malacoctenus","triangulatus","B",NA
"349","2006","Emblemaria","pandionis","B",NA
"350","2006","Haemulon","parra","B","4"
"351","2006","Synodus","intermedius","B",NA
"352","2006","Diplectrum","formosum","B","2"
"353","2006","Calamus","calamus","B","3"
"354","2006","Mycteroperca","phenax","B",NA
"355","2006","Lutjanus","apodus","B","1"
"356","2006","Acanthostracion","quadricornis","B","1"
"357","2006","Archosargus","rhomboidalis","B","4"
"358","2006","Parablennius","marmoreus","B","10"
"359","2006","Microgobius","carri","B",NA
"360","2006","Abudefduf","saxatilis","B","60"
"361","2006","Canthigaster","rostrata","B","6"
"362","2006","Diplodus","argenteus","B","5"
"363","2006","Monacanthus","tuckeri","B",NA
"364","2006","Eucinostomus","jonesii","B",NA
"365","2006","Halichoeres","bivittatus","B","144"
"366","2006","Haemulon","chrysargyreum","B",NA
"367","2006","Rhinesomus","triqueter","B","3"
"368","2006","Dasyatis","americana","B",NA
"369","2006","Haemulon","macrostomum","B","2"
"370","2006","Bodianus","rufus","B","3"
"371","2006","Scomberomorus","maculatus","B",NA
"372","2006","Chaetodon","ocellatus","B",NA
"373","2006","Diplodus","holbrookii","B",NA
"374","2006","Pseudupeneus","maculatus","B",NA
"375","2006","Scorpaena","plumieri","B",NA
"376","2006","Rhinesomus","bicaudalis","B",NA
"377","2006","Holocentrus","adscensionis","B",NA
"378","2006","Sparisoma","viride","B","26"
"379","2006","Haemulon","striatum","B",NA
"380","2006","Scarus","iseri","B","16"
"381","2006","Megalops","atlanticus","B",NA
"382","2006","Stegastes","planifrons","B","5"
"383","2006","Elacatinus","macrodon","B","1"
"384","2006","Haemulon","aurolineatum","B","96"
"385","2006","Apogon","pseudomaculatus","B",NA
"386","2006","Haemulon","plumierii","B","55"
"387","2006","Haemulon","album","B",NA
"388","2006","Mulloidichthys","martinicus","B",NA
"389","2006","Carangoides","bartholomaei","B",NA
"390","2006","Urobatis","jamaicensis","B",NA
"391","2006","Gerres","cinereus","B","14"
"392","2006","Microspathodon","chrysurus","B",NA
"393","2006","Ocyurus","chrysurus","B","4"
"394","2007","Chaetodipterus","faber","B",NA
"395","2007","Diodon","holocanthus","B","2"
"396","2007","Paraclinus","fasciatus","B",NA
"397","2007","Sphoeroides","spengleri","B",NA
"398","2007","Carangoides","ruber","B","65"
"399","2007","Stegastes","leucostictus","B","12"
"400","2007","Kyphosus","sectatrix","B","4"
"401","2007","Stegastes","partitus","B","5"
"402","2007","Anisotremus","surinamensis","B","4"
"403","2007","Halichoeres","poeyi","B","28"
"404","2007","Holacanthus","bermudensis","B","2"
"405","2007","Chromis","cyanea","B",NA
"406","2007","Ptereleotris","calliura","B",NA
"407","2007","Caranx","crysos","B",NA
"408","2007","Acanthurus","coeruleus","B","37"
"409","2007","Thalassoma","bifasciatum","B","212"
"410","2007","Haemulon","sciurus","B","9"
"411","2007","Coryphopterus","glaucofraenum","B","12"
"412","2007","Sparisoma","radians","B","16"
"413","2007","Hypoplectrus","unicolor","B",NA
"414","2007","Haemulon","carbonarium","B",NA
"415","2007","Scomberomorus","regalis","B",NA
"416","2007","Halichoeres","maculipinna","B","34"
"417","2007","Stegastes","variabilis","B","34"
"418","2007","Coryphopterus","dicrus","B",NA
"419","2007","Caranx","hippos","B",NA
"420","2007","Stegastes","sp.","B",NA
"421","2007","Ctenogobius","saepepallens","B",NA
"422","2007","Acanthurus","chirurgus","B","59"
"423","2007","Stegastes","adustus","B","27"
"424","2007","Opistognathus","whitehursti","B",NA
"425","2007","Apogon","maculatus","B",NA
"426","2007","Pomacanthus","paru","B","4"
"427","2007","Haemulon","<U+FB02>avolineatum","B","181"
"428","2007","Gnatholepis","thompsoni","B",NA
"429","2007","Pomacanthus","arcuatus","B","6"
"430","2007","Lutjanus","griseus","B","8"
"431","2007","Balistes","capriscus","B","7"
"432","2007","Cephalopholis","cruentata","B","1"
"433","2007","Sphyraena","barracuda","B","2"
"434","2007","Seriola","dumerili","B",NA
"435","2007","Rypticus","saponaceus","B","1"
"436","2007","Gymnothorax","funebris","B","1"
"437","2007","Xyrichtys","splendens","B",NA
"438","2007","Serranus","tigrinus","B",NA
"439","2007","Pareques","acuminatus","B","7"
"440","2007","Lachnolaimus","maximus","B","3"
"441","2007","Ptereleotris","helenae","B",NA
"442","2007","Synodus","foetens","B",NA
"443","2007","Haemulon","spp.","B","2097"
"444","2007","Callionymus","bairdi","B",NA
"445","2007","Lutjanus","synagris","B","22"
"446","2007","Serranus","baldwini","B",NA
"447","2007","Synodus","spp.","B","1"
"448","2007","Stegastes","diencaeus","B",NA
"449","2007","Lutjanus","mahogoni","B",NA
"450","2007","Coryphopterus","personatus","B","6"
"451","2007","Scarus","coelestinus","B",NA
"452","2007","Eucinostomus","lefroyi","B",NA
"453","2007","Lutjanus","analis","B",NA
"454","2007","Elacatinus","oceanops","B","1"
"455","2007","Ginglymostoma","cirratum","B",NA
"456","2007","Acanthurus","bahianus","B","95"
"457","2007","Scaridae","spp.","B",NA
"458","2007","Bothus","lunatus","B",NA
"459","2007","Lagodon","rhomboides","B","2"
"460","2007","Stephanolepis","hispidus","B",NA
"461","2007","Diodon","hystrix","B",NA
"462","2007","Calamus","spp.","B",NA
"463","2007","Anisotremus","virginicus","B","57"
"464","2007","Scarus","taeniopterus","B",NA
"465","2007","Halichoeres","radiatus","B","1"
"466","2007","Holacanthus","ciliaris","B","8"
"467","2007","Scarus","guacamaia","B","1"
"468","2007","Xyrichtys","spp.","B",NA
"469","2007","Epinephelus","morio","B",NA
"470","2007","Sparisoma","rubripinne","B","3"
"471","2007","Sparisoma","aurofrenatum","B","19"
"472","2007","Chaetodon","sedentarius","B",NA
"473","2007","Odontoscion","dentex","B",NA
"474","2007","Holacanthus","tricolor","B","1"
"475","2007","Malacoctenus","macropus","B","2"
"476","2007","Xyrichtys","martinicensis","B",NA
"477","2007","Acanthemblemaria","aspera","B","6"
"478","2007","Enneanectes","boehlkei","B",NA
"479","2007","Malacoctenus","triangulatus","B",NA
"480","2007","Emblemaria","pandionis","B",NA
"481","2007","Haemulon","parra","B","3"
"482","2007","Synodus","intermedius","B",NA
"483","2007","Diplectrum","formosum","B",NA
"484","2007","Calamus","calamus","B",NA
"485","2007","Mycteroperca","phenax","B","2"
"486","2007","Lutjanus","apodus","B",NA
"487","2007","Acanthostracion","quadricornis","B","3"
"488","2007","Archosargus","rhomboidalis","B","2"
"489","2007","Parablennius","marmoreus","B","5"
"490","2007","Microgobius","carri","B",NA
"491","2007","Abudefduf","saxatilis","B","25"
"492","2007","Canthigaster","rostrata","B","17"
"493","2007","Diplodus","argenteus","B",NA
"494","2007","Monacanthus","tuckeri","B",NA
"495","2007","Eucinostomus","jonesii","B","3"
"496","2007","Halichoeres","bivittatus","B","116"
"497","2007","Haemulon","chrysargyreum","B","9"
"498","2007","Rhinesomus","triqueter","B","3"
"499","2007","Dasyatis","americana","B",NA
"500","2007","Haemulon","macrostomum","B","2"
"501","2007","Bodianus","rufus","B",NA
"502","2007","Scomberomorus","maculatus","B","1"
"503","2007","Chaetodon","ocellatus","B",NA
"504","2007","Diplodus","holbrookii","B",NA
"505","2007","Pseudupeneus","maculatus","B",NA
"506","2007","Scorpaena","plumieri","B",NA
"507","2007","Rhinesomus","bicaudalis","B",NA
"508","2007","Holocentrus","adscensionis","B",NA
"509","2007","Sparisoma","viride","B","17"
"510","2007","Haemulon","striatum","B","1"
"511","2007","Scarus","iseri","B","15"
"512","2007","Megalops","atlanticus","B",NA
"513","2007","Stegastes","planifrons","B","2"
"514","2007","Elacatinus","macrodon","B","2"
"515","2007","Haemulon","aurolineatum","B","843"
"516","2007","Apogon","pseudomaculatus","B",NA
"517","2007","Haemulon","plumierii","B","41"
"518","2007","Haemulon","album","B",NA
"519","2007","Mulloidichthys","martinicus","B","5"
"520","2007","Carangoides","bartholomaei","B","3"
"521","2007","Urobatis","jamaicensis","B",NA
"522","2007","Gerres","cinereus","B","75"
"523","2007","Microspathodon","chrysurus","B","5"
"524","2007","Ocyurus","chrysurus","B","9"
"525","2008","Chaetodipterus","faber","B","3"
"526","2008","Diodon","holocanthus","B","6"
"527","2008","Paraclinus","fasciatus","B",NA
"528","2008","Sphoeroides","spengleri","B","2"
"529","2008","Carangoides","ruber","B","9"
"530","2008","Stegastes","leucostictus","B","90"
"531","2008","Kyphosus","sectatrix","B","3"
"532","2008","Stegastes","partitus","B","2"
"533","2008","Anisotremus","surinamensis","B","2"
"534","2008","Halichoeres","poeyi","B",NA
"535","2008","Holacanthus","bermudensis","B","3"
"536","2008","Chromis","cyanea","B",NA
"537","2008","Ptereleotris","calliura","B",NA
"538","2008","Caranx","crysos","B",NA
"539","2008","Acanthurus","coeruleus","B","40"
"540","2008","Thalassoma","bifasciatum","B","228"
"541","2008","Haemulon","sciurus","B","13"
"542","2008","Coryphopterus","glaucofraenum","B","64"
"543","2008","Sparisoma","radians","B","26"
"544","2008","Hypoplectrus","unicolor","B",NA
"545","2008","Haemulon","carbonarium","B",NA
"546","2008","Scomberomorus","regalis","B",NA
"547","2008","Halichoeres","maculipinna","B","32"
"548","2008","Stegastes","variabilis","B","99"
"549","2008","Coryphopterus","dicrus","B",NA
"550","2008","Caranx","hippos","B",NA
"551","2008","Stegastes","sp.","B",NA
"552","2008","Ctenogobius","saepepallens","B",NA
"553","2008","Acanthurus","chirurgus","B","46"
"554","2008","Stegastes","adustus","B","65"
"555","2008","Opistognathus","whitehursti","B",NA
"556","2008","Apogon","maculatus","B",NA
"557","2008","Pomacanthus","paru","B","6"
"558","2008","Haemulon","<U+FB02>avolineatum","B","197"
"559","2008","Gnatholepis","thompsoni","B",NA
"560","2008","Pomacanthus","arcuatus","B","8"
"561","2008","Lutjanus","griseus","B","4"
"562","2008","Balistes","capriscus","B","15"
"563","2008","Cephalopholis","cruentata","B",NA
"564","2008","Sphyraena","barracuda","B",NA
"565","2008","Seriola","dumerili","B",NA
"566","2008","Rypticus","saponaceus","B","1"
"567","2008","Gymnothorax","funebris","B",NA
"568","2008","Xyrichtys","splendens","B",NA
"569","2008","Serranus","tigrinus","B",NA
"570","2008","Pareques","acuminatus","B","5"
"571","2008","Lachnolaimus","maximus","B",NA
"572","2008","Ptereleotris","helenae","B",NA
"573","2008","Synodus","foetens","B",NA
"574","2008","Haemulon","spp.","B","386"
"575","2008","Callionymus","bairdi","B",NA
"576","2008","Lutjanus","synagris","B","1"
"577","2008","Serranus","baldwini","B",NA
"578","2008","Synodus","spp.","B",NA
"579","2008","Stegastes","diencaeus","B",NA
"580","2008","Lutjanus","mahogoni","B",NA
"581","2008","Coryphopterus","personatus","B","51"
"582","2008","Scarus","coelestinus","B",NA
"583","2008","Eucinostomus","lefroyi","B",NA
"584","2008","Lutjanus","analis","B",NA
"585","2008","Elacatinus","oceanops","B","1"
"586","2008","Ginglymostoma","cirratum","B",NA
"587","2008","Acanthurus","bahianus","B","184"
"588","2008","Scaridae","spp.","B","7"
"589","2008","Bothus","lunatus","B",NA
"590","2008","Lagodon","rhomboides","B","3"
"591","2008","Stephanolepis","hispidus","B",NA
"592","2008","Diodon","hystrix","B",NA
"593","2008","Calamus","spp.","B",NA
"594","2008","Anisotremus","virginicus","B","75"
"595","2008","Scarus","taeniopterus","B",NA
"596","2008","Halichoeres","radiatus","B","1"
"597","2008","Holacanthus","ciliaris","B","10"
"598","2008","Scarus","guacamaia","B","8"
"599","2008","Xyrichtys","spp.","B",NA
"600","2008","Epinephelus","morio","B",NA
"601","2008","Sparisoma","rubripinne","B","4"
"602","2008","Sparisoma","aurofrenatum","B","9"
"603","2008","Chaetodon","sedentarius","B","1"
"604","2008","Odontoscion","dentex","B","1"
"605","2008","Holacanthus","tricolor","B",NA
"606","2008","Malacoctenus","macropus","B","3"
"607","2008","Xyrichtys","martinicensis","B",NA
"608","2008","Acanthemblemaria","aspera","B","5"
"609","2008","Enneanectes","boehlkei","B",NA
