"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","PltSzUnits","SiAreaCalc","SiLinearExtentUnits","Event_type","Lat","Long","A_priori","Year_of_Event"
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","60",125000,"cm^3",NA,NA,"",0.125,"m^3",1009,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,39.71029382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,27.28970618,NA,NA,NA,0.523082175131387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","63",125000,"cm^3",NA,NA,"",0.125,"m^3",1007,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,53.10458188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,15.89541812,NA,NA,NA,0.261843292312995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","64",125000,"cm^3",NA,NA,"",0.125,"m^3",1006,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,54.15245531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,13.84754469,NA,NA,NA,0.227704390005443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","8",125000,"cm^3",NA,NA,"",0.125,"m^3",1010,"algae","Multiple",1,NA,NA,NA,NA,NA,1955,NA,32.85802342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,24.14197658,NA,NA,NA,0.550855308586644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PK","6","Yildiz and Feyzioglu (2014)","PK",200,"uM","Zooplankton","coastal shelf","Trabzon, Turkey","No",NA,"No",NA,"This study examined the zooplankton diversity and abundance in the black sea","Table 1","Trabzon",5.5,"m^3",NA,NA,"",5.5,"m^3",1596,"Mixed","Trwl",1,2,89526,NA,NA,NA,1999,6,13,NA,NA,1.598054501,NA,NA,3.350550326,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,104771,NA,NA,NA,2006,6,13,NA,NA,1.925127149,NA,NA,4.673358035,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,0,NA,NA,NA,0.327072648,NA,NA,NA,0.186205064467328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","EE",0.078,"m^2","Tidal restriction","Negative","",0.078,"m^2",181,"Mixed","Drdg",5,0,432,NA,NA,NA,1998,NA,19,NA,NA,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,560,NA,NA,NA,2006,NA,46,NA,NA,3.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,27,NA,NA,NA,0.884202417322654,NA,NA,NA,0.74,NA,NA,NA,0.261122799379426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","PMS",0.078,"m^2","Tidal restriction","Negative","",0.078,"m^2",185,"Mixed","Drdg",5,0,4716,NA,NA,NA,1998,NA,14,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,2180,NA,NA,NA,2006,NA,28,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,14,NA,NA,NA,0.693147180559945,NA,NA,NA,1.69,NA,NA,NA,0.787812407101024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow, Dredging","No","1990","Regular dredging","Table 1","PS",0.078,"m^2","Tidal restriction","Negative","",0.078,"m^2",187,"Mixed","Drdg",5,0,143,NA,NA,NA,1998,NA,8,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,579,NA,NA,NA,2006,NA,21,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,NA,NA,NA,0.965080896043587,NA,NA,NA,1.01,NA,NA,NA,0.592221261969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","PSM",0.078,"m^2","Tidal restriction","Negative","",0.078,"m^2",183,"Mixed","Drdg",5,0,224,NA,NA,NA,1998,NA,6,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,828,NA,NA,NA,2006,NA,22,NA,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,16,NA,NA,NA,1.29928298413026,NA,NA,NA,0.56,NA,NA,NA,0.330460194464585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Y","11","Nagekjerken et al (2005)","PK",NA,NA,"Corals","coral reef","Curacao Island","No",NA,"Yes",NA,"Comparison between samples collected in 1972 and 2003 by the same lab. It includes %cover and species richness.","Text","Curacao Island",240,"m^2",NA,NA,"",240,"m^2",1522,"coral","Vis",1,9,NA,NA,NA,52.2,1973,6,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,42.6,2003,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,-4,NA,NA,NA,-0.22314355131421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Approximately 10 m trawl. Plot size was calculated by multiplying the plot size by the number of subsamples.","Figure 2","Inner NPE",3648.052,"cm^2",NA,NA,"",0.3648052,"m^2",2162,"zooplankton","Trwl",1,2,NA,NA,NA,NA,2009,4,19.79680135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2010,4,16.25797523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.53882612,NA,NA,NA,-0.196936804904824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Approximately 10 m trawl. Plot size was calculated by multiplying the plot size by the number of subsamples.","Figure 2","Outer NPE",3648.052,"cm^2",NA,NA,"",0.3648052,"m^2",2163,"zooplankton","Trwl",1,4,NA,NA,NA,NA,2009,4,90.88984044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,2010,4,58.55067503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-32.33916541,NA,NA,NA,-0.439755609502801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Assumed to be pooled - 3 trawls taken: bottom to surface (25 m), bottom to 10 m, 10 m to surface. Plot area was calculated as the sum of the volume of these subsamples","Figure 2","Outside NPE",18240.26,"cm^2",NA,NA,"",1.824026,"m^2",2164,"zooplankton","Trwl",1,3,NA,NA,NA,NA,2009,4,59.08370877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,2010,4,53.74399649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.33971228,NA,NA,NA,-0.0947232635218705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
