"CitationID","StudyID","Site","Latitude","Longitude","DepthElevation","Day","Month","Year","Genus","Species","GenusSpecies","Taxa","Organism","ObsEventID","ObsID","RepeatType","Treatment","ScaleValue","ScaleUnits","Driver","BioType","ValueType","Value","SamplingCount"
"Dupont, et al.2010","327_Vis","Ref",27.58273,-83.071631,NA,NA,6,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_6_2005","327_Vis_27.58273_-83.071631_NA_6_2005_Ref","permanent","control",1689,"m^3","Red Tide","marine","richness",20.05347594,8
"Dupont, et al.2010","327_Vis","Ref",27.58273,-83.071631,NA,NA,2,2005,NA,NA,NA,"fish","small reef fish","327_Vis_27.58273_-83.071631_NA_2_2005","327_Vis_27.58273_-83.071631_NA_2_2005_Ref","permanent","control",1689,"m^3","Red Tide","marine","richness",16.04278075,8
"Bedford, et al., 2006","693_Vis","Shallow",34.017239,-118.53605,NA,NA,11,1989,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.017239_-118.53605_NA_11_1989","693_Vis_34.017239_-118.53605_NA_11_1989_Shallow","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",14,1
"Bedford, et al., 2006","693_Vis","Mid",34.010014,-118.533939,NA,NA,11,1989,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.010014_-118.533939_NA_11_1989","693_Vis_34.010014_-118.533939_NA_11_1989_Mid","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",8,1
"Bedford, et al., 2006","693_Vis","Deep",34.004956,-118.537028,NA,NA,11,1989,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.004956_-118.537028_NA_11_1989","693_Vis_34.004956_-118.537028_NA_11_1989_Deep","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",5,1
"Bedford, et al., 2006","693_Vis","Topanga",34.02725,-118.531889,NA,NA,11,1989,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.02725_-118.531889_NA_11_1989","693_Vis_34.02725_-118.531889_NA_11_1989_Topanga","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",14,1
"Bedford, et al., 2006","693_Vis","Shallow",34.017239,-118.53605,NA,NA,11,1990,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.017239_-118.53605_NA_11_1990","693_Vis_34.017239_-118.53605_NA_11_1990_Shallow","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",13,1
"Bedford, et al., 2006","693_Vis","Mid",34.010014,-118.533939,NA,NA,11,1990,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.010014_-118.533939_NA_11_1990","693_Vis_34.010014_-118.533939_NA_11_1990_Mid","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",10,1
"Bedford, et al., 2006","693_Vis","Deep",34.004956,-118.537028,NA,NA,11,1990,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.004956_-118.537028_NA_11_1990","693_Vis_34.004956_-118.537028_NA_11_1990_Deep","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",10,1
"Bedford, et al., 2006","693_Vis","Topanga",34.02725,-118.531889,NA,NA,11,1990,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.02725_-118.531889_NA_11_1990","693_Vis_34.02725_-118.531889_NA_11_1990_Topanga","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",0,1
"Bedford, et al., 2006","693_Vis","Shallow",34.017239,-118.53605,NA,NA,11,1992,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.017239_-118.53605_NA_11_1992","693_Vis_34.017239_-118.53605_NA_11_1992_Shallow","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",0,1
"Bedford, et al., 2006","693_Vis","Mid",34.010014,-118.533939,NA,NA,11,1992,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.010014_-118.533939_NA_11_1992","693_Vis_34.010014_-118.533939_NA_11_1992_Mid","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",15,1
"Bedford, et al., 2006","693_Vis","Deep",34.004956,-118.537028,NA,NA,11,1992,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.004956_-118.537028_NA_11_1992","693_Vis_34.004956_-118.537028_NA_11_1992_Deep","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",0,1
"Bedford, et al., 2006","693_Vis","Topanga",34.02725,-118.531889,NA,NA,11,1992,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.02725_-118.531889_NA_11_1992","693_Vis_34.02725_-118.531889_NA_11_1992_Topanga","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",0,1
"Bedford, et al., 2006","693_Vis","Shallow",34.017239,-118.53605,NA,NA,11,1993,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.017239_-118.53605_NA_11_1993","693_Vis_34.017239_-118.53605_NA_11_1993_Shallow","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",11,1
"Bedford, et al., 2006","693_Vis","Mid",34.010014,-118.533939,NA,NA,11,1993,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.010014_-118.533939_NA_11_1993","693_Vis_34.010014_-118.533939_NA_11_1993_Mid","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",13,1
"Bedford, et al., 2006","693_Vis","Deep",34.004956,-118.537028,NA,NA,11,1993,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.004956_-118.537028_NA_11_1993","693_Vis_34.004956_-118.537028_NA_11_1993_Deep","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",9,1
"Bedford, et al., 2006","693_Vis","Topanga",34.02725,-118.531889,NA,NA,11,1993,NA,NA,NA,"fish","typical kelp forest fish assemblage","693_Vis_34.02725_-118.531889_NA_11_1993","693_Vis_34.02725_-118.531889_NA_11_1993_Topanga","permanent","control",100,"m^2","Artificial rock reef built","marine","richness",18,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,1996,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_1996","404_Drdg_53.496784_-3.291132_NA_9_1996_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",21.3,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,1996,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_1996","404_Drdg_53.508292_-3.320183_NA_9_1996_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",31.99,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,1996,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_1996","404_Drdg_53.482389_-3.292336_NA_9_1996_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",36.61,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,1997,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_1997","404_Drdg_53.496784_-3.291132_NA_9_1997_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",17.96,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,1997,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_1997","404_Drdg_53.508292_-3.320183_NA_9_1997_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",29.92,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,1997,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_1997","404_Drdg_53.482389_-3.292336_NA_9_1997_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",28.16,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,1998,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_1998","404_Drdg_53.496784_-3.291132_NA_9_1998_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",14.94,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,1998,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_1998","404_Drdg_53.508292_-3.320183_NA_9_1998_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",45.22,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,1998,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_1998","404_Drdg_53.482389_-3.292336_NA_9_1998_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",28.32,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,1999,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_1999","404_Drdg_53.496784_-3.291132_NA_9_1999_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",25.45,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,1999,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_1999","404_Drdg_53.508292_-3.320183_NA_9_1999_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",43.14,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,1999,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_1999","404_Drdg_53.482389_-3.292336_NA_9_1999_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",23.54,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,2000,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_2000","404_Drdg_53.496784_-3.291132_NA_9_2000_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",35.33,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,2000,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_2000","404_Drdg_53.508292_-3.320183_NA_9_2000_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",47.29,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,2000,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_2000","404_Drdg_53.482389_-3.292336_NA_9_2000_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",37.73,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,2001,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_2001","404_Drdg_53.496784_-3.291132_NA_9_2001_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",25.61,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,2001,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_2001","404_Drdg_53.508292_-3.320183_NA_9_2001_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",39.32,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,2001,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_2001","404_Drdg_53.482389_-3.292336_NA_9_2001_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",37.09,1
"Whomersley, P., et al., 2008","404_Drdg","D",53.496784,-3.291132,NA,NA,9,2002,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.496784_-3.291132_NA_9_2002","404_Drdg_53.496784_-3.291132_NA_9_2002_D","semi-permanent","control",1e-05,"m^2","Dredge Dump Site","marine","richness",29.6,1
"Whomersley, P., et al., 2008","404_Drdg","Rn",53.508292,-3.320183,NA,NA,9,2002,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.508292_-3.320183_NA_9_2002","404_Drdg_53.508292_-3.320183_NA_9_2002_Rn","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",35.65,1
"Whomersley, P., et al., 2008","404_Drdg","Rs",53.482389,-3.292336,NA,NA,9,2002,NA,NA,NA,"Mixed","Macro-invert infauna","404_Drdg_53.482389_-3.292336_NA_9_2002","404_Drdg_53.482389_-3.292336_NA_9_2002_Rs","semi-permanent","control",1e-05,"m^2",NA,"marine","richness",37.88,1
"Kelly and Metataxis, 2008","453_Vis","ROPOS Sponge",45.933055,-130.01388,NA,NA,NA,2001,NA,NA,NA,"Mixed","Colonizing invertebrates","453_Vis_45.933055_-130.01388_NA_NA_2001","453_Vis_45.933055_-130.01388_NA_NA_2001_ROPOS Sponge","permanent","control",0.00014,"m^3","Artificial Reef","marine","richness",11.38,1
"Kelly and Metataxis, 2008","453_Vis","Cloud Sponge",45.933333,-129.981388,NA,NA,NA,2001,NA,NA,NA,"Mixed","Colonizing invertebrates","453_Vis_45.933333_-129.981388_NA_NA_2001","453_Vis_45.933333_-129.981388_NA_NA_2001_Cloud Sponge","permanent","control",0.00014,"m^3","Artificial Reef","marine","richness",11.33,1
"Kelly and Metataxis, 2008","453_Vis","ROPOS Basalt",45.933055,-130.01388,NA,NA,NA,2001,NA,NA,NA,"Mixed","Colonizing invertebrates","453_Vis_45.933055_-130.01388_NA_NA_2001","453_Vis_45.933055_-130.01388_NA_NA_2001_ROPOS Basalt","permanent","control",0.00014,"m^3","Artificial Reef","marine","richness",6.29,1
"Kelly and Metataxis, 2008","453_Vis","Cloud Basalt",45.933333,-129.981388,NA,NA,NA,2001,NA,NA,NA,"Mixed","Colonizing invertebrates","453_Vis_45.933333_-129.981388_NA_NA_2001","453_Vis_45.933333_-129.981388_NA_NA_2001_Cloud Basalt","permanent","control",0.00014,"m^3","Artificial Reef","marine","richness",5,1
"Mazik et al., 2007","497_Drdg","1A",53.712423,-0.222579,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.712423_-0.222579_NA_9_1994","497_Drdg_53.712423_-0.222579_NA_9_1994_1A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",0,1
"Mazik et al., 2007","497_Drdg","1B",53.711495,-0.222685,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.711495_-0.222685_NA_9_1994","497_Drdg_53.711495_-0.222685_NA_9_1994_1B","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1,1
"Mazik et al., 2007","497_Drdg","1C",53.710584,-0.224807,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.710584_-0.224807_NA_9_1994","497_Drdg_53.710584_-0.224807_NA_9_1994_1C","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1.7,1
"Mazik et al., 2007","497_Drdg","2A",53.71012,-0.222916,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.71012_-0.222916_NA_9_1994","497_Drdg_53.71012_-0.222916_NA_9_1994_2A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1.7,1
"Mazik et al., 2007","497_Drdg","2B",53.708489,-0.2235,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.708489_-0.2235_NA_9_1994","497_Drdg_53.708489_-0.2235_NA_9_1994_2B","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1.7,1
"Mazik et al., 2007","497_Drdg","2C",53.7083,-0.225232,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.7083_-0.225232_NA_9_1994","497_Drdg_53.7083_-0.225232_NA_9_1994_2C","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",2,1
"Mazik et al., 2007","497_Drdg","3A",53.707357,-0.21571,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.707357_-0.21571_NA_9_1994","497_Drdg_53.707357_-0.21571_NA_9_1994_3A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",5.7,1
"Mazik et al., 2007","497_Drdg","4A",53.706052,-0.212761,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.706052_-0.212761_NA_9_1994","497_Drdg_53.706052_-0.212761_NA_9_1994_4A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",4.3,1
"Mazik et al., 2007","497_Drdg","4B",53.70533,-0.214169,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.70533_-0.214169_NA_9_1994","497_Drdg_53.70533_-0.214169_NA_9_1994_4B","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1,1
"Mazik et al., 2007","497_Drdg","5A",53.705193,-0.210369,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.705193_-0.210369_NA_9_1994","497_Drdg_53.705193_-0.210369_NA_9_1994_5A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1.3,1
"Mazik et al., 2007","497_Drdg","5B",53.704405,-0.209835,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.704405_-0.209835_NA_9_1994","497_Drdg_53.704405_-0.209835_NA_9_1994_5B","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",0.3,1
"Mazik et al., 2007","497_Drdg","6A",53.700309,-0.202041,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.700309_-0.202041_NA_9_1994","497_Drdg_53.700309_-0.202041_NA_9_1994_6A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",0.3,1
"Mazik et al., 2007","497_Drdg","7A",53.696915,-0.19777,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.696915_-0.19777_NA_9_1994","497_Drdg_53.696915_-0.19777_NA_9_1994_7A","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",1.3,1
"Mazik et al., 2007","497_Drdg","7B",53.696535,-0.200209,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.696535_-0.200209_NA_9_1994","497_Drdg_53.696535_-0.200209_NA_9_1994_7B","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",3,1
"Mazik et al., 2007","497_Drdg","1D",53.70981,-0.229016,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.70981_-0.229016_NA_9_1994","497_Drdg_53.70981_-0.229016_NA_9_1994_1D","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",5.7,1
"Mazik et al., 2007","497_Drdg","1E",53.709297,-0.229093,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.709297_-0.229093_NA_9_1994","497_Drdg_53.709297_-0.229093_NA_9_1994_1E","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",2.7,1
"Mazik et al., 2007","497_Drdg","2D",53.707345,-0.224479,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.707345_-0.224479_NA_9_1994","497_Drdg_53.707345_-0.224479_NA_9_1994_2D","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",10,1
"Mazik et al., 2007","497_Drdg","2E",53.707226,-0.226446,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.707226_-0.226446_NA_9_1994","497_Drdg_53.707226_-0.226446_NA_9_1994_2E","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",3.7,1
"Mazik et al., 2007","497_Drdg","2F",53.706134,-0.223725,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.706134_-0.223725_NA_9_1994","497_Drdg_53.706134_-0.223725_NA_9_1994_2F","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",9,1
"Mazik et al., 2007","497_Drdg","5C",53.703075,-0.211715,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.703075_-0.211715_NA_9_1994","497_Drdg_53.703075_-0.211715_NA_9_1994_5C","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",10.3,1
"Mazik et al., 2007","497_Drdg","5D",53.701697,-0.216035,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.701697_-0.216035_NA_9_1994","497_Drdg_53.701697_-0.216035_NA_9_1994_5D","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",9,1
"Mazik et al., 2007","497_Drdg","5E",53.701013,-0.220717,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.701013_-0.220717_NA_9_1994","497_Drdg_53.701013_-0.220717_NA_9_1994_5E","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",9,1
"Mazik et al., 2007","497_Drdg","7C",53.696676,-0.202752,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.696676_-0.202752_NA_9_1994","497_Drdg_53.696676_-0.202752_NA_9_1994_7C","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",7.3,1
"Mazik et al., 2007","497_Drdg","7D",53.693359,-0.207354,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.693359_-0.207354_NA_9_1994","497_Drdg_53.693359_-0.207354_NA_9_1994_7D","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",9.7,1
"Mazik et al., 2007","497_Drdg","7E",53.69507,-0.217617,NA,NA,9,1994,NA,NA,NA,"Mixed","Infaunal invertebrates","497_Drdg_53.69507_-0.217617_NA_9_1994","497_Drdg_53.69507_-0.217617_NA_9_1994_7E","permanent","control",0.001177,"m^3","Created Mudflats","marine","richness",7,1
"Marchini et al., 2004","557_Drdg","8",44.790939,12.361472,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.790939_12.361472_NA_1_2000","557_Drdg_44.790939_12.361472_NA_1_2000_8","permanent","control",0.075,"m^2","Canal Building","marine","richness",8.7,1
"Marchini et al., 2004","557_Drdg","B",44.834646,12.289458,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.834646_12.289458_NA_1_2000","557_Drdg_44.834646_12.289458_NA_1_2000_B","permanent","control",0.075,"m^2","Canal Building","marine","richness",17.6,1
"Marchini et al., 2004","557_Drdg","C",44.827924,12.286467,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.827924_12.286467_NA_1_2000","557_Drdg_44.827924_12.286467_NA_1_2000_C","permanent","control",0.075,"m^2","Canal Building","marine","richness",30.8,1
"Marchini et al., 2004","557_Drdg","D",44.811302,12.287215,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.811302_12.287215_NA_1_2000","557_Drdg_44.811302_12.287215_NA_1_2000_D","permanent","control",0.075,"m^2","Canal Building","marine","richness",21.8,1
"Marchini et al., 2004","557_Drdg","E",44.800163,12.279739,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.800163_12.279739_NA_1_2000","557_Drdg_44.800163_12.279739_NA_1_2000_E","permanent","control",0.075,"m^2","Canal Building","marine","richness",19.7,1
"Marchini et al., 2004","557_Drdg","G",44.818017,12.316381,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.818017_12.316381_NA_1_2000","557_Drdg_44.818017_12.316381_NA_1_2000_G","permanent","control",0.075,"m^2","Canal Building","marine","richness",23.4,1
"Marchini et al., 2004","557_Drdg","H",44.796271,12.30366,NA,NA,1,2000,NA,NA,NA,"Mixed","macrobenthic inverts","557_Drdg_44.796271_12.30366_NA_1_2000","557_Drdg_44.796271_12.30366_NA_1_2000_H","permanent","control",0.075,"m^2","Canal Building","marine","richness",6.8,1
