"","QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori.","Year.of.Event","Notes","Source","Site","n1","n2","sub1","sub2","I1","I2","ind1_error","ind1_error_type","ind2_error","ind2_error_type","P1","P2","PltSz","PltSz..units.","T1","T1m","T2","T2m","SppR1","SppR1.Error","SppR1.Error.Type","SppR2","SppR2.Error","SppR2.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even1","Even1.Error","Even1.Error.Type","Even2","Even2.Error","Even2.Error.Type","event_category","expected_change","event_notes","SppR1.SD","SppR2.SD","Shan1.SD","Shan2.SD","Simps1.SD","Simps2.SD","Even1.SD","Even2.SD","PlotSize","PlotSizeUnits","id","taxa","samp_method","date1","date2"
"11","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"6",2006,"2",20.05347594,NA,NA,16.04278075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Blom","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",11,"fish","Vis",2005-06-01,2006-02-01
"12","JD","327","Dupont, et al.2010","AH",NA,NA,"small reef fish","rocky subtidal","Florida","Yes","Red Tide","Yes","2005","Volume of fish survey area= 3.14 * (5^2) * mean depth (18 - 25 m). Mean month chosen when sampling occurred over multiple months","Figure 5","Ref",10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",2005,"2",2007,"1",16.04278075,NA,NA,31.01604278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algal Blom","Negative","",NA,NA,NA,NA,NA,NA,NA,NA,1689,"m^3",12,"fish","Vis",2005-02-01,2007-01-01
"13","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",14,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",13,"fish","Vis",1989-11-01,1990-11-01
"14","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",8,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",14,"fish","Vis",1989-11-01,1990-11-01
"15","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",5,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",15,"fish","Vis",1989-11-01,1990-11-01
"16","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Topanga",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",16,"fish","Vis",1989-11-01,1990-11-01
"17","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",13,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",17,"fish","Vis",1990-11-01,1992-11-01
"18","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",10,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",18,"fish","Vis",1990-11-01,1992-11-01
"19","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",19,"fish","Vis",1990-11-01,1992-11-01
"20","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Topanga",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",20,"fish","Vis",1990-11-01,1992-11-01
"21","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1992,"11",1993,"11",0,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",21,"fish","Vis",1992-11-01,1993-11-01
"22","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1992,"11",1993,"11",15,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",22,"fish","Vis",1992-11-01,1993-11-01
"23","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1992,"11",1993,"11",0,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",23,"fish","Vis",1992-11-01,1993-11-01
"24","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Topanga",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1992,"11",1993,"11",0,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",24,"fish","Vis",1992-11-01,1993-11-01
"25","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1993,"11",1995,"11",11,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",25,"fish","Vis",1993-11-01,1995-11-01
"26","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1993,"11",1995,"11",13,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",26,"fish","Vis",1993-11-01,1995-11-01
"27","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1993,"11",1995,"11",9,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",27,"fish","Vis",1993-11-01,1995-11-01
"28","JD","693","Bedford, et al., 2006","AH",NA,NA,"typical kelp forest fish assemblage","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 2","Topanga",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1993,"11",1995,"11",18,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",28,"fish","Vis",1993-11-01,1995-11-01
"29","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",29,"mobile.inverts","Vis",1989-11-01,1990-11-01
"30","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",30,"mobile.inverts","Vis",1989-11-01,1990-11-01
"31","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",31,"mobile.inverts","Vis",1989-11-01,1990-11-01
"32","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Topanga",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1989,"11",1990,"11",7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",32,"mobile.inverts","Vis",1989-11-01,1990-11-01
"33","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Shallow",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",33,"mobile.inverts","Vis",1990-11-01,1992-11-01
"34","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Mid",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",3,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",34,"mobile.inverts","Vis",1990-11-01,1992-11-01
"35","JD","693","Bedford, et al., 2006","AH",NA,NA,"benthic macroinvertebrates","rocky subtidal","Southern California","Yes","Artificial rock reef built","Yes","1987","Based on reef size from Figure 2 and the Topanga and SMBAR guides by the California Department of Fish and Wildlife, transects length were ~ 50 m across (up and over) the reef units. This is an underestimate of plot size for the fishes because the circumference of the reef units was included in the survey.","Table 3","Deep",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",1990,"11",1992,"11",3,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Artificial reef creation","Positive","",NA,NA,NA,NA,NA,NA,NA,NA,100,"m^2",35,"mobile.inverts","Vis",1990-11-01,1992-11-01
