"id","x","y","location_key","QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Duration","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","rich_ROM_uw","rich_ROM_w","shan_ROM_uw","shan_ROM_w","rich_SMD_uw","rich_SMD_w","shan_SMD_uw","shan_SMD_w","Study.ID.y","Reference.y","Site.y","Shape","Source.y","Checked","Notes.y","mean_imps","raster_vel","raster_lin","mean_invs"
"108",109.396389,12.655,"363_WIBP 50*9 m transect",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","WIBP 50*9 m transect",NA,NA,450,"m^2","Positive","",NA,NA,NA,450,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,6.264512872,0.777385159,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.777385159,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,6.138313983,0.999495204,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",0.999495204,NA,NA,NA,1,-0.126198889,1.60331834825246,NA,NA,-0.0203507226061629,0.0419124561198306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"109",109.396389,12.655,"363_WIBP 50*3 m transect",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","WIBP 50*3 m transect",NA,NA,150,"m^2","Positive","",NA,NA,NA,150,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,21.33770823,2.115093387,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.115093387,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,29.545684,2.448258455,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",2.448258455,NA,NA,NA,1,8.20797577,10.4675894982101,NA,NA,0.325461828706895,0.0166920589079196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"11",-38,-12.6,"53_Northern Bahia",NA,53,"Kelmo et al. 2013","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"Foraminefera","coral reef",-12.6,-38,"Brazil","Yes","El Nino in 97-8 but no change in any other year",NA,NA,"Foraminefera",0,0,0,1,0,"Fig 2a ","Northern Bahia",900,"m^2",50,"cm^3","Uncertain","Could be either depending on when samples taken",NA,900,"m^2",5e-05,"m^3","Coral",40,NA,NA,NA,NA,NA,1995,4,18.28571429,1.428571429,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.03507903176304,NA,NA,NA,40,NA,NA,NA,NA,NA,2011,4,6.514285714,1.6,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"El Nino",10.1192885125388,NA,NA,NA,16,-11.771428576,4.6008163277551,-1.215303587581,0.0592310175624204,-1.03212254767751,0.0664297698631643,-1.215303587581,0.0597010173242201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3.54433923959732,161.722183551631,0.101601418393003,NA
"110",109.396389,12.655,"363_WIB 50*9m transects",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  ",1,0,0,0,0,"fig 3","WIB 50*9m transects",NA,NA,450,"m^2","Positive","",NA,NA,NA,450,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,13.26602726,2.104997476,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.104997476,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,19.35890964,4.563351843,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",4.563351843,NA,NA,NA,1,6.09288238,25.2551944169779,NA,NA,0.37794633403607,0.0807436240919474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"111",109.396389,12.655,"363_WIB 50*3m transects",NA,363,"Svensson et al. 2009","TI",0,0,0,1,0,0,0,0,0,0,NA,NA,"fish greater than 15 cms in length","coral reef",12.655,109.396389,"Whale island resort, Vietnam","Yes","Hotel managed marine reserve in 2001 (WIB) and another site in 2005 (WIBP)","Yes",NA,"protection in WIB was not successful for the 1st 2 years.  plot size is length* depth",1,0,0,0,0,"fig 3","WIB 50*3m transects",NA,NA,150,"m^2","Positive","",NA,NA,NA,150,"m^2","Mixed inverts",1,NA,NA,NA,NA,NA,2005,10,38.67238768,2.00908632,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00908632,NA,NA,NA,1,NA,NA,NA,NA,NA,2006,10,49.091368,1.908127208,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MPA",1.908127208,NA,NA,NA,1,10.41898032,7.67737728312102,NA,NA,0.238557366129363,0.00420974333121483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5.62121470769246,70.5920782299757,0.122308790080982,0.540377095341682
"112",-81.5442,24.6669,"422_Jaap",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,"Became a marine sanctuary in 1990",1,0,0,0,0,"Fig 5","Jaap",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,11.15044248,NA,NA,0.628571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,10.17699115,NA,NA,0.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.973451330000001,NA,NA,NA,-0.0913497788221825,NA,NA,NA,0.085714285,NA,NA,NA,0.127833370428067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"113",-81.5442,24.6669,"422_Looe",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","Looe",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,23.27433628,NA,NA,2.114285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,20.26548673,NA,NA,1.228571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-3.00884955,NA,NA,NA,-0.138432028272669,NA,NA,NA,-0.885714285,NA,NA,NA,-0.542864977026635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"114",-81.5442,24.6669,"422_Rock",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","Rock",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,18.31858407,NA,NA,2.078571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,14.15929204,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-4.15929203,NA,NA,NA,-0.257544977663064,NA,NA,NA,0.121428571,NA,NA,NA,0.0567765155958964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"115",-81.5442,24.6669,"422_Sambo",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","Sambo",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,24.33628319,NA,NA,1.878571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,21.32743363,NA,NA,1.714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-3.00884956,NA,NA,NA,-0.131974164267987,NA,NA,NA,-0.164285715,NA,NA,NA,-0.0915151092305767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"116",-81.5442,24.6669,"422_Sand",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","Sand",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,21.23893805,NA,NA,1.985714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,20.26548673,NA,NA,1.907142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,-0.973451320000002,NA,NA,NA,-0.0469169194279446,NA,NA,NA,-0.0785714290000001,NA,NA,NA,-0.0403724555091789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"117",-81.5442,24.6669,"422_Smith",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","Smith",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,13.18584071,NA,NA,1.557142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,14.24778761,NA,NA,1.607142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1.0619469,NA,NA,NA,0.0774580588411631,NA,NA,NA,0.0499999999999998,NA,NA,NA,0.0316053394181853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
"118",-81.5442,24.6669,"422_West",NA,422,"Maliao et al 2008","MH",1,0,0,0,0,0,0,0,0,0,NA,NA,"all corals","coral reef",24.6669,-81.5442,"Florida Keys",NA,NA,NA,NA,NA,1,0,0,0,0,"Fig 5","West",NA,NA,44,"m^2",NA,NA,NA,NA,NA,44,"m^2","Mixed",2,NA,NA,NA,NA,NA,1996,NA,17.25663717,NA,NA,1.735714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2000,NA,17.25663717,NA,NA,1.707142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,0,NA,NA,NA,-0.0285714290000001,NA,NA,NA,-0.0165978916573289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4.60857582092285,-1.99112832555933,-0.00531347797005465,NA
