"QC","Study.ID","Reference","Collector","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Loc","Event","Event.type","A.priori","Year.of.Event","Notes","Source","Site","PltSz","PltSz..units.","event_category","expected_change","event_notes","PlotSize","PlotSizeUnits","id","taxa","samp_method","n1","sub1","I1","P1","T1","T1m","SppR1","Shan1","Simps1","Even1","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","Ind1.SD","n2","sub2","I2","P2","T2","T2m","SppR2","Shan2","Simps2","Even2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","Ind2.SD","Duration","yi_SppR_MD","vi_SppR_MD","yi_SppR_SMD","vi_SppR_SMD","yi_SppR_ROM","vi_SppR_ROM","yi_SppR_SMDH","vi_SppR_SMDH","yi_Shan_MD","vi_Shan_MD","yi_Shan_SMD","vi_Shan_SMD","yi_Shan_ROM","vi_Shan_ROM","yi_Shan_SMDH","vi_Shan_SMDH","yi_Even_MD","vi_Even_MD","yi_Even_SMD","vi_Even_SMD","yi_Even_ROM","vi_Even_ROM","yi_Even_SMDH","vi_Even_SMDH","temp_id","Scale","AbundUnitsOrig","study_sub_site","studyName","SiAreaCalc","SiLinearExtentUnits","site_id","mean_imps","mean_invs","mean_nuts","mean_pests","total_ltc","total_vocc","sliced_ltc","sliced_vocc"
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","43",125000,"cm^3",NA,NA,NA,0.125,"m^3",11,"algae","Multiple",1,NA,NA,NA,1955,NA,19.37538525,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,54,22.62461475,NA,NA,NA,0.773666159370672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_43",2.0285165309906,0,0.0078010680153966,0.000175893743289635,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","46",125000,"cm^3",NA,NA,NA,0.125,"m^3",12,"algae","Multiple",1,NA,NA,NA,1955,NA,31.07458393,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,54,14.92541607,NA,NA,NA,0.392251148401587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_46",3.76164627075195,1182.6787516276,0.527502179145813,0.00129834139564385,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","48",125000,"cm^3",NA,NA,NA,0.125,"m^3",13,"algae","Multiple",1,NA,NA,NA,1955,NA,31.32319704,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,54,17.67680296,NA,NA,NA,0.447461355569136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_48",3.14169907569885,NA,0.591980487108231,0.00141015404369682,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","53",125000,"cm^3",NA,NA,NA,0.125,"m^3",14,"algae","Multiple",1,NA,NA,NA,1955,NA,35.43661393,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,54,21.56338607,NA,NA,NA,0.475305690398155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_53",3.20963311195374,185.543375651042,0.182442784309387,0.000548884854651988,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","54",125000,"cm^3",NA,NA,NA,0.125,"m^3",15,"algae","Multiple",1,NA,NA,NA,1955,NA,32.29093898,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,54,24.70906102,NA,NA,NA,0.568264603895965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_54",2.77232467383146,312.306030273438,0.562794372439384,0.00241577794076875,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","56",125000,"cm^3",NA,NA,NA,0.125,"m^3",16,"algae","Multiple",1,NA,NA,NA,1955,NA,39.14320937,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,54,16.85679063,NA,NA,NA,0.358124734939229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_56",3.50215971469879,746.069610595703,0.732809782028198,0.00226878933608532,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","58",125000,"cm^3",NA,NA,NA,0.125,"m^3",17,"algae","Multiple",1,NA,NA,NA,1955,NA,50.19519211,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2008,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,53,9.80480789,NA,NA,NA,0.178425314812302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_58",4.10591753323873,1427.10034179688,0.745761334896088,0.00241942470893264,NA,NA,NA,NA
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","6",125000,"cm^3",NA,NA,NA,0.125,"m^3",18,"algae","Multiple",1,NA,NA,NA,1955,NA,49.48017259,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,54,9.51982741,NA,NA,NA,0.175965408311525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_6",5.16351779301961,3823.2783203125,0.438999265432358,0.000973660052598765,0.0722625481675314,47.2289944599357,0.143001972367524,96.2452909872869
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","60",125000,"cm^3",NA,NA,NA,0.125,"m^3",19,"algae","Multiple",1,NA,NA,NA,1955,NA,39.71029382,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,67,NA,NA,NA,NA,NA,NA,NA,NA,54,27.28970618,NA,NA,NA,0.523082175131387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_60",5.1452249288559,8483.6474609375,0.574211314320564,0.0031928822863847,0.0722625481675314,47.2289944599357,0.143001972367524,96.2452909872869
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","63",125000,"cm^3",NA,NA,NA,0.125,"m^3",20,"algae","Multiple",1,NA,NA,NA,1955,NA,53.10458188,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,54,15.89541812,NA,NA,NA,0.261843292312995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_63",6.65270566940308,1631.19494628906,0.130925863981247,0.000339887599693611,0.0722625481675314,47.2289944599357,0.143001972367524,96.2452909872869
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","64",125000,"cm^3",NA,NA,NA,0.125,"m^3",21,"algae","Multiple",1,NA,NA,NA,1955,NA,54.15245531,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,54,13.84754469,NA,NA,NA,0.227704390005443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_64",4.92873366673787,3475.24731445312,0.676435033480326,0.00344724021852016,0.0722625481675314,47.2289944599357,0.143001972367524,96.2452909872869
"Y","2","Husa et al 2014","MH",NA,NA,"kelp","kelp","Norway","No",NA,"No",NA,"T1 years between 1955-56","Fig 3","8",125000,"cm^3",NA,NA,NA,0.125,"m^3",22,"algae","Multiple",1,NA,NA,NA,1955,NA,32.85802342,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2009,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,54,24.14197658,NA,NA,NA,0.550855308586644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2_8",5.73001527786255,3686.32470703125,0.396868487199148,0.00179911459175249,0.0722625481675314,47.2289944599357,0.143001972367524,96.2452909872869
"PK","6","Yildiz and Feyzioglu (2014)","PK",200,"uM","Zooplankton","coastal shelf","Trabzon, Turkey","No",NA,"No",NA,"This study examined the zooplankton diversity and abundance in the black sea","Table 1","Trabzon",5.5,"m^3",NA,NA,NA,5.5,"m^3",23,"Mixed","Trwl",1,2,89526,NA,1999,6,13,1.598054501,3.350550326,NA,NA,NA,NA,NA,NA,1,2,104771,NA,2006,6,13,1.925127149,4.673358035,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,0,NA,NA,NA,0.327072648,NA,NA,NA,0.186205064467328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6_Trabzon",4.59484895070394,NA,0,0,0.0474695695320902,19.5647148515637,-0.923513334894927,-300.182030725437
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","EE",0.078,"m^2","Tidal restriction","Negative",NA,0.078,"m^2",24,"Mixed","Drdg",5,0,432,NA,1998,NA,19,2.48,NA,NA,NA,NA,NA,NA,NA,5,0,560,NA,2006,NA,46,3.22,NA,NA,NA,NA,NA,NA,NA,8,27,NA,NA,NA,0.884202417322654,NA,NA,NA,0.74,NA,NA,NA,0.261122799379426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10_EE",7.07085943222046,4137.5,14.8967447280884,0.951389759778976,0.0873290962736254,22.7930067000704,0.360474573241339,95.2035875307946
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","PMS",0.078,"m^2","Tidal restriction","Negative",NA,0.078,"m^2",25,"Mixed","Drdg",5,0,4716,NA,1998,NA,14,1.41,NA,NA,NA,NA,NA,NA,NA,5,0,2180,NA,2006,NA,28,3.1,NA,NA,NA,NA,NA,NA,NA,8,14,NA,NA,NA,0.693147180559945,NA,NA,NA,1.69,NA,NA,NA,0.787812407101024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10_PMS",7.23174047470093,4137.5,15.651782989502,0.999578237533569,0.0873290962736254,22.7930067000704,0.360474573241339,95.2035875307946
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow, Dredging","No","1990","Regular dredging","Table 1","PS",0.078,"m^2","Tidal restriction","Negative",NA,0.078,"m^2",26,"Mixed","Drdg",5,0,143,NA,1998,NA,8,1.25,NA,NA,NA,NA,NA,NA,NA,5,0,579,NA,2006,NA,21,2.26,NA,NA,NA,NA,NA,NA,NA,8,13,NA,NA,NA,0.965080896043587,NA,NA,NA,1.01,NA,NA,NA,0.592221261969985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10_PS",7.08910274505615,8275,23.5464010238647,1.5038226544857,0.0873290962736254,22.7930067000704,0.360474573241339,95.2035875307946
"JD","10","Pinto et al. 2014","ARW",NA,NA,"benthic infauna","estuarine mudflat","Mondego Estuary, Portugal","Yes","Reduced upstream flow","No","1990","Event disrupted communication between sites","Table 1","PSM",0.078,"m^2","Tidal restriction","Negative",NA,0.078,"m^2",27,"Mixed","Drdg",5,0,224,NA,1998,NA,6,1.43,NA,NA,NA,NA,NA,NA,NA,5,0,828,NA,2006,NA,22,1.99,NA,NA,NA,NA,NA,NA,NA,8,16,NA,NA,NA,1.29928298413026,NA,NA,NA,0.56,NA,NA,NA,0.330460194464585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10_PSM",7.18034410476685,4137.5,15.2614917755127,0.974738627672195,0.0873290962736254,22.7930067000704,0.360474573241339,95.2035875307946
"Y","11","Nagekjerken et al (2005)","PK",NA,NA,"Corals","coral reef","Curacao Island","No",NA,"Yes",NA,"Comparison between samples collected in 1972 and 2003 by the same lab. It includes %cover and species richness.","Text","Curacao Island",240,"m^2",NA,NA,NA,240,"m^2",28,"coral","Vis",1,9,NA,"52.2",1973,6,20,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,"42.6",2003,6,16,NA,NA,NA,NA,NA,NA,NA,NA,30,-4,NA,NA,NA,-0.22314355131421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11_Curacao Island",5.12776517868042,0,0,0,0.0614023643427487,37.8677041407451,0.233896956862513,166.318847610468
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Approximately 10 m trawl. Plot size was calculated by multiplying the plot size by the number of subsamples.","Figure 2","Inner NPE",3648.052,"cm^2",NA,NA,NA,0.3648052,"m^2",29,"zooplankton","Trwl",1,2,NA,NA,2009,4,19.79680135,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,2010,4,16.25797523,NA,NA,NA,NA,NA,NA,NA,NA,1,-3.53882612,NA,NA,NA,-0.196936804904824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13_Inner NPE",6.50569019714991,190.007879257202,47.3588372866313,0.729036815464497,0.122710230201831,70.2856115462066,8.05171966552733,4162.96309325819
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Approximately 10 m trawl. Plot size was calculated by multiplying the plot size by the number of subsamples.","Figure 2","Outer NPE",3648.052,"cm^2",NA,NA,NA,0.3648052,"m^2",30,"zooplankton","Trwl",1,4,NA,NA,2009,4,90.88984044,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,2010,4,58.55067503,NA,NA,NA,NA,NA,NA,NA,NA,1,-32.33916541,NA,NA,NA,-0.439755609502801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13_Outer NPE",7.51039186120033,11505.0467529297,46.7202375888824,0.719204051047564,0.122710230201831,70.2856115462066,8.05171966552733,4162.96309325819
NA,"13","Truong et al 2014","JD",200,"µm","copepod species","estuary","Nha Phu Estuary","No",NA,NA,NA,"Assumed to be pooled - 3 trawls taken: bottom to surface (25 m), bottom to 10 m, 10 m to surface. Plot area was calculated as the sum of the volume of these subsamples","Figure 2","Outside NPE",18240.26,"cm^2",NA,NA,NA,1.824026,"m^2",31,"zooplankton","Trwl",1,3,NA,NA,2009,4,59.08370877,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2010,4,53.74399649,NA,NA,NA,NA,NA,NA,NA,NA,1,-5.33971228,NA,NA,NA,-0.0947232635218705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13_Outside NPE",6.80779826641083,14088.1730957031,22.78262758255,0.350687071681023,0.122710230201831,70.2856115462066,8.05171966552733,4162.96309325819
"JD","19","Elahi et al. 2013","TI",NA,NA,"sessile rockwall taxa (algae and invertebrates)","rocky subtidal","San Juan Islands, Wa, USa","No",NA,"No",NA,"Photograph area used for analysis = 36*25 cm^2","Fig2","Shady Cove, Friday Harbor laboratories",900,"cm^2",NA,NA,NA,0.09,"m^2",32,"Mixed","Vis",4,NA,NA,NA,1970,3,7.720178372,1.233815193,NA,0.594701443,2.090301003,0.531462585,NA,0.209662566,NA,4,NA,NA,NA,2011,3,13.74024526,1.88574263,NA,0.724088748,2.759197324,0.262188209,NA,0.070364501,NA,41,6.020066888,2.99563203897789,2.13636401450617,0.785253200154807,0.576491667756561,0.0284087907319384,2.13636401450617,0.811008137214937,0.651927437,0.0877987840483775,1.35136659504196,0.614136979637207,0.424210559777767,0.0512186425590977,1.35136659504196,0.660350930115748,0.129387305,0.0122273886456708,0.718692279651652,0.53228241205193,0.196854461840786,0.0334338693810889,0.718692279651652,0.556142164920553,NA,NA,NA,NA,NA,NA,NA,"19_Shady Cove, Friday Harbor laboratories",5.18821382522583,674.535847981771,0.0932281464338303,0.00188344554044306,0.00536813880867306,1.13846746068275,0.0186542581707568,4.36390185186639
"JD","29","Link et al. 2013","JEKB",NA,NA,"Mobile and Sessile Infauna","coastal shelf","Canadian Arctic","No",NA,"No",NA,"Plot size = 3.14 * (5^2) *20","Table S2","AG-CC",1570,"cm^3",NA,NA,NA,0.00157,"m^3",33,"Mixed","Drdg",3,0,212.3333333,NA,2008,NA,12,NA,NA,NA,3,NA,NA,NA,36.11555528,3,0,196.6666667,NA,2009,NA,8,NA,NA,NA,1,NA,NA,NA,20.0333056,1,-4,3.33333333333333,-1.42729929292222,0.836431939298022,-0.405465108108164,0.0260416666666667,-1.42729929292222,0.902486558245076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29_AG-CC",2.26770317554474,NA,0,0,0.23513318101033,NA,-4.61441546678543,NA
