"QC","Study.ID","Reference","Collector","coral","plant","algae","fish","inverts","mobile.inverts","sessile.inverts","marine.mammals","phytoplankton","zooplankton","mesh.size","mesh.size.units","Descriptor.of.Taxa.Sampled","Sys","Lat","Long","Loc","Event.","Event.type","A.priori.","Year.of.Event","Notes","Vis","Trwl","Line","Drdg","Trp","Source","Site","SiSz","SiSz..units.","PltSz","PltSz..units.","Expected.Change.Direction","Event.Notes","Year","SiteSize","SiteSizeUnits","PlotSize","PlotSizeUnits","Taxa","yi.SppR.MD","vi.SppR.MD","yi.SppR.SMD","vi.SppR.SMD","yi.SppR.ROM","vi.SppR.ROM","yi.SppR.SMDH","vi.SppR.SMDH","yi.Shan.MD","vi.Shan.MD","yi.Shan.SMD","vi.Shan.SMD","yi.Shan.ROM","vi.Shan.ROM","yi.Shan.SMDH","vi.Shan.SMDH","yi.Even.MD","vi.Even.MD","yi.Even.SMD","vi.Even.SMD","yi.Even.ROM","vi.Even.ROM","yi.Even.SMDH","vi.Even.SMDH","n1","sub1","I1","ind1_error","ind1_error_type","P1","T1","T1m","SppR1","SppR1.Error","SppR1.Error.Type","Shan1","Shan1.Error","Shan1.Error.Type","Simps1","Simps1.Error","Simps1.Error.Type","Even1","Even1.Error","Even1.Error.Type","SppR1.SD","Shan1.SD","Simps1.SD","Even1.SD","n2","sub2","I2","ind2_error","ind2_error_type","P2","T2","T2m","SppR2","SppR2.Error","SppR2.Error.Type","Shan2","Shan2.Error","Shan2.Error.Type","Simps2","Simps2.Error","Simps2.Error.Type","Even2","Even2.Error","Even2.Error.Type","Event.type.2","SppR2.SD","Shan2.SD","Simps2.SD","Even2.SD","id","Duration","mean_imps","temp_change_rate_year","temp_change_rate_decade","temp_net_change"
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 15 m; June",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",0.3,NA,NA,NA,0.318453731118535,NA,NA,NA,-0.02,NA,NA,NA,-0.0250013022054173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,1,0.8,NA,NA,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,1,1.1,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"11",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,1,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2009; 20 m; June",1,0,0,0,0,"Figure 6","20 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Mixed inverts",0.64,NA,NA,NA,0.762140052046897,NA,NA,NA,0.09,NA,NA,NA,0.111917916203985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,1,0.56,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,1,1.2,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"12",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 5 m; June",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",-0.47,NA,NA,NA,-0.68267588069265,NA,NA,NA,-0.18,NA,NA,NA,-0.297251523467932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,6,0.95,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,6,0.48,NA,NA,0.52,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"13",1,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 10 m; June",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",0.51,NA,NA,NA,0.553385238184787,NA,NA,NA,0.0499999999999999,NA,NA,NA,0.0606246218164348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,6,0.69,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,6,1.2,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"14",1,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,1,0,0,0,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2011; 15 m; June",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Fish",-0.2,NA,NA,NA,-0.182321556793955,NA,NA,NA,0.01,NA,NA,NA,0.0118344576470028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,6,1.2,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2010,6,1,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"15",1,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 0 m; July",1,0,0,0,0,"Figure 6","0 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",0.22,NA,NA,NA,0.185403223331363,NA,NA,NA,0.05,NA,NA,NA,0.0645385211375712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,8,1.08,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,8,1.3,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"16",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 5 m; July",1,0,0,0,0,"Figure 6","5 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",-0.14,NA,NA,NA,-0.102278849120418,NA,NA,NA,0.1,NA,NA,NA,0.117783035656383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,8,1.44,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,8,1.3,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"17",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 10 m; July",1,0,0,0,0,"Figure 6","10 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",-0.23,NA,NA,NA,-0.171422266335919,NA,NA,NA,0.0900000000000001,NA,NA,NA,0.102947969252442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,8,1.46,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,8,1.23,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"18",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 15 m; July",1,0,0,0,0,"Figure 6","15 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",-0.15,NA,NA,NA,-0.114192367525655,NA,NA,NA,0.0900000000000001,NA,NA,NA,0.102947969252442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,8,1.39,NA,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,8,1.24,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"19",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,88,"WehKamp, 2013","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"demersal hardbottom fish","subtidal",54.18,7.91,"North Sea","Yes","Construction",NA,NA,"2010; 20 m; July",1,0,0,0,0,"Figure 6","20 m",189,"m^3",2,"m^2","Negative","",NA,189,"m^3",2,"m^2","Plants",-0.4,NA,NA,NA,-0.287682072451781,NA,NA,NA,-0.1,NA,NA,NA,-0.117783035656383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2009,8,1.6,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2011,8,1.2,NA,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,"Construction",NA,NA,NA,NA,"20",2,2.77739350001017,0.0161119250858056,0.161119250858056,0.263337711493174
NA,327,"Dupont, et al.2010","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"small reef fish","rocky subtidal",27.63,-83,"Florida","Yes","Red Tide","Yes",NA,"LB; Spring 2005-2006",1,0,0,0,0,"Figure 5","LB",2,"km^2",1570,"m^3","Negative","",NA,2e+06,"m^2",1570,"m^3","Plants",-13.1,NA,NA,NA,-0.353433450014561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2005,4,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2006,4,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB",NA,NA,NA,NA,"21",1,2.50948017835617,-0.00719093651727013,-0.0719093651727013,-0.330042203267414
NA,327,"Dupont, et al.2010","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"small reef fish","rocky subtidal",27.63,-83,"Florida","Yes","Red Tide","Yes",NA,"RM; Spring 2005-2006",1,0,0,0,0,"Figure 5","RM",2,"km^2",1570,"m^3","Negative","",NA,2e+06,"m^2",1570,"m^3","Plants",-11,NA,NA,NA,-0.440036452173253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2005,4,30.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2006,4,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB",NA,NA,NA,NA,"22",1,2.50948017835617,-0.00719093651727013,-0.0719093651727013,-0.330042203267414
NA,327,"Dupont, et al.2010","AH",0,0,0,0,0,1,0,0,0,0,NA,NA,"small reef fish","rocky subtidal",27.63,-83,"Florida","Yes","Red Tide","Yes",NA,"Ref; Spring 2005-2006",1,0,0,0,0,"Figure 5","Ref",2,"km^2",1570,"m^3","Negative","",NA,2e+06,"m^2",1570,"m^3","Plants",-5,NA,NA,NA,-0.224148071740215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2005,4,24.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,2006,4,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAB",NA,NA,NA,NA,"23",1,2.50948017835617,-0.00719093651727013,-0.0719093651727013,-0.330042203267414
NA,340,"Birchenough and Frid 2009","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"macrobenthic inverts (e.g. polychaetes, molluscs) ","subtidal mudflat",55.033,1.35,"United Kingdom","Yes","Stopped disposal of sewer sludge the year before the study",NA,NA,"Sites 5 and 7 were control, other two impacted",0,0,0,1,0,NA,"S 1",NA,NA,0.1,"m^2","Positive","",NA,NA,NA,0.1,"m^2","Coral",-10,9.90222222177778,-1.81429835912077,0.564583926795415,-0.280110375947213,0.00747177758446956,-1.81429835912077,0.58979156130478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,465.9182183,NA,NA,NA,1999,4,40.93333333,2.533333333,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66470554225411,NA,NA,NA,5,NA,"158.3242059",NA,NA,NA,2000,4,30.93333333,1.866666667,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restoration",4.17399355874496,NA,NA,NA,"24",1,5.95885372161865,0.0120543203674046,0.120543203674046,0.361751039822897
NA,340,"Birchenough and Frid 2009","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"macrobenthic inverts (e.g. polychaetes, molluscs)","subtidal mudflat",55.033,1.35,"United Kingdom","Yes","Stopped disposal of sewer sludge the year before the study",NA,NA,"Sites 5 and 7 were control, other two impacted",0,0,0,1,0,NA,"S 1",NA,NA,0.1,"m^2","Positive","",NA,NA,NA,0.1,"m^2","Coral",0,14.2577777760889,0,0.4,0,0.00850937410514296,0,0.407436654315252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,465.9182183,NA,NA,NA,1999,4,40.93333333,2.533333333,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.66470554225411,NA,NA,NA,5,NA,"262.8696605",NA,NA,NA,2001,4,40.93333333,2.8,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restoration",6.26099033699941,NA,NA,NA,"25",2,5.95885372161865,0.0120543203674046,0.120543203674046,0.361751039822897
NA,340,"Birchenough and Frid 2009","MH",0,0,0,0,1,1,1,0,0,0,NA,NA,"macrobenthic inverts (e.g. polychaetes, molluscs)","subtidal mudflat",55.033,1.35,"United Kingdom","Yes","Stopped disposal of sewer sludge the year before the study",NA,NA,"Sites 5 and 7 were control, other two impacted",0,0,0,1,0,NA,"St 2",NA,NA,0.1,"m^2","Positive","",NA,NA,NA,0.1,"m^2","Coral",-9.06666666,6.00888888977778,-2.11166783210491,0.622957051657333,-0.225371550583402,0.00442531986523068,-2.11166783210491,0.749040138057854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,405.2939029,NA,NA,NA,1999,4,44.93333333,0.933333333,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08699677825445,NA,NA,NA,5,NA,"171.9423147",NA,NA,NA,2001,4,35.86666667,2.266666667,"SE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Restoration",5.06842074974488,NA,NA,NA,"26",2,5.95885372161865,0.0120543203674046,0.120543203674046,0.361751039822897
