TI,Study ID,Author.Year,Filtered,Database,Authors,Title,Journal,Volume,Issue,Start.Page,End.Page,Electronic.ID,DOI,Year,
Alexa,554,NA,Patrick,ISI,"Conlan, KE; Kim, SL; Lenihan, HS; Oliver, JS","Benthic changes during 10 years of organic enrichment by McMurdo Station, Antarctica",MARINE POLLUTION BULLETIN,49,1/2/2014,43,60,NA,10.1016/j.marpolbul.2004.01.007,2004,"Conlan, K. E., Kim, S. L., Lenihan, H. S., & Oliver, J. S. (2004). Benthic changes during 10 years of organic enrichment by McMurdo Station, Antarctica. Marine Pollution Bulletin, 49(1-2), 43–60. doi:10.1016/j.marpolbul.2004.01.007"
Daniel,144,Burd et al. 2012,Alexa,ISI,"Burd, B.; Bertold, S.; Macdonald, T.","Responses of infaunal composition, biomass and production to discharges from a marine outfall over the past decade",MARINE POLLUTION BULLETIN,64,9,1837,1852,NA,10.1016/j.marpolbul.2012.06.007,2012,"Burd, B., Bertold, S., & Macdonald, T. (2012). Responses of infaunal composition, biomass and production to discharges from a marine outfall over the past decade. Marine Pollution Bulletin, 64(9), 1837–1852. doi:10.1016/j.marpolbul.2012.06.007"
Daniel,362,NA,Jillian,ISI,"Conversi, A.; Peluso, T.; Fonda-Umani, S.",Gulf of Trieste: A changing ecosystem,JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,114,NA,NA,NA,C03S90,10.1029/2008JC004763,2009,"Conversi, A., Peluso, T., & Fonda-Umani, S. (2009). Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research, 114(C3). doi:10.1029/2008jc004763"
Daniel,469,NA,Marc,ISI,"Ponti, Massimo; Colangelo, Marina Antonia; Ceccherelli, Victor Ugo","Composition, biomass and secondary production of the macrobenthic invertebrate assemblages in a coastal lagoon exploited for extensive aquaculture: Valle Smarlacca (northern Adriatic Sea)",ESTUARINE COASTAL AND SHELF SCIENCE,75,1/2/2014,79,89,NA,10.1016/j.ecss.2007.01.021,2007,"Ponti, M., Antonia Colangelo, M., & Ugo Ceccherelli, V. (2007). Composition, biomass and secondary production of the macrobenthic invertebrate assemblages in a coastal lagoon exploited for extensive aquaculture: Valle Smarlacca (northern Adriatic Sea). Estuarine, Coastal and Shelf Science, 75(1-2), 79–89. doi:10.1016/j.ecss.2007.01.021"
Daniel,477,NA,Marc,ISI,"Labrune, C.; Gremare, A.; Guizien, K.; Amouroux, J. M.",Long-term comparison of soft bottom macrobenthos in the Bay of Banyuls-sur-Mer (north-western Mediterranean Sea): A reappraisal,JOURNAL OF SEA RESEARCH,58,2,125,143,NA,10.1016/j.seares.2007.02.006,2007,"Labrune, C., Grémare, A., Guizien, K., & Amouroux, J. M. (2007). Long-term comparison of soft bottom macrobenthos in the Bay of Banyuls-sur-Mer (north-western Mediterranean Sea): A reappraisal. Journal of Sea Research, 58(2), 125–143. doi:10.1016/j.seares.2007.02.006"
Jarrett,29,Link et al. 2013,Alexa,ISI,"Link, Heike; Piepenburg, Dieter; Archambault, Philippe","Are Hotspots Always Hotspots? The Relationship between Diversity, Resource and Ecosystem Functions in the Arctic",PLOS ONE,8,9,NA,NA,UNSP e74077,10.1371/journal.pone.0074077,2013,"Link, H., Piepenburg, D., & Archambault, P. (2013). Are Hotspots Always Hotspots? The Relationship between Diversity, Resource and Ecosystem Functions in the Arctic. PLoS ONE, 8(9), e74077. doi:10.1371/journal.pone.0074077"
Jarrett,208,NA,Daniel,ISI,"Hussin, W. M. Rauhan Wan; Cooper, Keith M.; Frojan, Christopher R. S. Barrio; Defew, Emma C.; Paterson, David M.",Impacts of physical disturbance on the recovery of a macrofaunal community: A comparative analysis using traditional and novel approaches,ECOLOGICAL INDICATORS,12,1,37,45,NA,10.1016/j.ecolind.2011.03.016,2012,"Wan Hussin, W. M. R., Cooper, K. M., Froján, C. R. S. B., Defew, E. C., & Paterson, D. M. (2012). Impacts of physical disturbance on the recovery of a macrofaunal community: A comparative analysis using traditional and novel approaches. Ecological Indicators, 12(1), 37–45. doi:10.1016/j.ecolind.2011.03.016"
Jillian,334,NA,Jillian,ISI,"Kedra, Monika; Wlodarska-Kowalczuk, Maria; Weslawski, Jan Marcin","Decadal change in macrobenthic soft-bottom community structure in a high Arctic fjord (Kongsfjorden, Svalbard)",POLAR BIOLOGY,33,1,1,11,NA,10.1007/s00300-009-0679-1,2010,"K_dra, M., W_odarska-Kowalczuk, M., & W_s_awski, J. M. (2009). Decadal change in macrobenthic soft-bottom community structure in a high Arctic fjord (Kongsfjorden, Svalbard). Polar Biology, 33(1), 1–11. doi:10.1007/s00300-009-0679-1"
Marc,340,NA,Jillian,ISI,"Birchenough, Silvana N. R.; Frid, Chris L. J.",Macrobenthic succession following the cessation of sewage sludge disposal,JOURNAL OF SEA RESEARCH,62,4,258,267,NA,10.1016/j.seares.2009.06.004,2009,"Birchenough, S. N. R., & Frid, C. L. J. (2009). Macrobenthic succession following the cessation of sewage sludge disposal. Journal of Sea Research, 62(4), 258–267. doi:10.1016/j.seares.2009.06.004"
Marc,415,NA,Jillian,ISI,"Masuda, Reiji",Seasonal and interannual variation of subtidal fish assemblages in Wakasa Bay with reference to the warming trend in the Sea of Japan,ENVIRONMENTAL BIOLOGY OF FISHES,82,4,387,399,NA,10.1007/s10641-007-9300-z,2008,"Masuda, R. (2007). Seasonal and interannual variation of subtidal fish assemblages in Wakasa Bay with reference to the warming trend in the Sea of Japan. Environmental Biology of Fishes, 82(4), 387–399. doi:10.1007/s10641-007-9300-z"
Marc,625,NA,Tenzing,ISI,"Lindstrom, SC; Houghton, JP; Lees, DC","Intertidal macroalgal community structure in southwestern Prince William Sound, Alaska",BOTANICA MARINA,42,3,265,280,NA,10.1515/BOT.1999.030,1999,"Lindstrom, S. C., Houghton, J. P., & Lees, D. C. (1999). Intertidal Macroalgal Community Structure in Southwestern Prince William Sound, Alaska. Botanica Marina, 42(3). doi:10.1515/bot.1999.030"
Pat,47,Martin et al. 2013,Alexa,ISI,"Martin, Ruth A.; Nesbitt, Elizabeth A.; Martin, David E.","DISTRIBUTION OF FORAMINIFERA IN PUGET SOUND, WESTERN WASHINGTON, USA",JOURNAL OF FORAMINIFERAL RESEARCH,43,3,291,304,NA,NA,2013,"Martin, R. A., Nesbitt, E. A., & Martin, D. E. (2013). Distribution of foraminifera in Puget Sound, Western Washington, USA. The Journal of Foraminiferal Research, 43(3), 291-304."
Pat,291,NA,Daniel,ISI,"Gooday, A. J.; Malzone, M. G.; Bett, B. J.; Lamont, P. A.","Decadal-scale changes in shallow-infaunal foraminiferal assemblages at the Porcupine Abyssal Plain, NE Atlantic",DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,57,15,1362,1382,NA,10.1016/j.dsr2.2010.01.012,2010,"Gooday, A. J., Malzone, M. G., Bett, B. J., & Lamont, P. A. (2010). Decadal-scale changes in shallow-infaunal foraminiferal assemblages at the Porcupine Abyssal Plain, NE Atlantic. Deep Sea Research Part II: Topical Studies in Oceanography, 57(15), 1362–1382. doi:10.1016/j.dsr2.2010.01.012"
Pat,321,NA,Jillian,ISI,"Stuart-Smith, Rick D.; Barrett, Nevilles S.; Stevenson, David G.; Edgar, Graham J.",Stability in temperate reef communities over a decadal time scale despite concurrent ocean warming,GLOBAL CHANGE BIOLOGY,16,1,122,134,NA,10.1111/j.1365-2486.2009.01955.x,2010,"STUART-SMITH, R. D., BARRETT, N. S., STEVENSON, D. G., & EDGAR, G. J. (2010). Stability in temperate reef communities over a decadal time scale despite concurrent ocean warming. Global Change Biology, 16(1), 122–134. doi:10.1111/j.1365-2486.2009.01955.x"
Pat,395,NA,Jillian,ISI,"Somerfield, P. J.; Jaap, W. C.; Clarke, K. R.; Callahan, M.; Hackett, K.; Porter, J.; Lybolt, M.; Tsokos, C.; Yanev, G.","Changes in coral reef communities among the Florida Keys, 1996-2003",CORAL REEFS,27,4,951,965,NA,10.1007/s00338-008-0390-7,2008,"Somerfield, P. J., Jaap, W. C., Clarke, K. R., Callahan, M., Hackett, K., Porter, J., … Yanev, G. (2008). Changes in coral reef communities among the Florida Keys, 1996–2003. Coral Reefs, 27(4), 951–965. doi:10.1007/s00338-008-0390-7"
Pat,556,NA,Patrick,ISI,"Shimanaga, M; Kitazato, H; Shirayama, Y","Temporal patterns in diversity and species composition of deep-sea benthic copepods in bathyal Sagami Bay, central Japan",MARINE BIOLOGY,144,6,1097,1110,NA,10.1007/s00227-003-1273-7,2004,"Shirayama, Y., Kitazato, H., & Shimanaga, M. (2004). Temporal patterns in diversity and species composition of deep-sea benthic copepods in bathyal Sagami Bay, central Japan. Marine Biology, 144(6), 1097–1110. doi:10.1007/s00227-003-1273-7"
Pat,561,NA,Patrick,ISI,"Hoffmeyer, MS","Decadal change in zooplankton seasonal succession in the Bahia Blanca estuary, Argentina, following introduction of two zooplankton species",JOURNAL OF PLANKTON RESEARCH,26,2,181,189,NA,10.1093/plankt/fbh023,2004,"Hoffmeyer, M. S. (2004). Decadal change in zooplankton seasonal succession in the Bahia Blanca estuary, Argentina, following introduction of two zooplankton species. Journal of Plankton Research, 26(2), 181–189. doi:10.1093/plankt/fbh023"
Pat,577,NA,Patrick,ISI,"Occhipinti-Ambrogi, Anna; Favruzzo, Mauro; Savini, Dario",Multi-Annual Variations of Macrobenthos along the Emilia-Romagna Coast (Northern Adriatic),MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,23,NA,307,319,NA,10.1111/j.1439-0485.2002.tb00029.x,2002,"Occhipinti-Ambrogi, A., Favruzzo, M., & Savini, D. (2002). Multi-Annual Variations of Macrobenthos along the Emilia-Romagna Coast (Northern Adriatic). Marine Ecology, 23(s1), 307–319. doi:10.1111/j.1439-0485.2002.tb00029.x"
Pat,587,NA,Patrick,ISI,"Warwick, RM; Ashman, CM; Brown, AR; Clarke, KR; Dowell, B; Hart, B; Lewis, RE; Shillabeer, N; Somerfield, PJ; Tapp, JF","Inter-annual changes in the biodiversity and community structure of the macrobenthos in Tees Bay and the Tees estuary, UK, associated with local and regional environmental events",MARINE ECOLOGY PROGRESS SERIES,234,NA,1,13,NA,10.3354/meps234001,2002,"Warwick, R., Ashman, C., Brown, A., Clarke, K., Dowell, B., Hart, B., … Tapp, J. (2002). Inter-annual changes in the biodiversity and community structure of the macrobenthos in Tees Bay and the Tees estuary, UK, associated with local and regional environmental events. Marine Ecology Progress Series, 234, 1–13. doi:10.3354/meps234001"
Pat,647,NA,Tenzing,ISI,"Hall, JA; Frid, CLJ; Proudfoot, RK",Effects of metal contamination on macrobenthos of two North Sea estuaries,ICES JOURNAL OF MARINE SCIENCE,53,6,1014,1023,NA,10.1006/jmsc.1996.0127,1996,"Hall, J. (1996). Effects of metal contamination on macrobenthos of two North Sea estuaries. ICES Journal of Marine Science, 53(6), 1014–1023. doi:10.1006/jmsc.1996.0127"
Tenzing,19,Elahi et al. 2013,Alexa,ISI,"Elahi, Robin; Birkeland, Charles; Sebens, Kenneth P.; Turner, Kevin R.; Dwyer, Timothy R.",Limited change in the diversity and structure of subtidal communities over four decades,MARINE BIOLOGY,160,12,3209,3219,NA,10.1007/s00227-013-2308-3,2013,"Elahi, R., Birkeland, C., Sebens, K. P., Turner, K. R., & Dwyer, T. R. (2013). Limited change in the diversity and structure of subtidal communities over four decades. Marine Biology, 160(12), 3209–3219. doi:10.1007/s00227-013-2308-3"
Tenzing,238,NA,Daniel,ISI,"Bollens, Stephen M.; Breckenridge, Joanne K.; Vanden Hooff, Rian C.; Cordell, Jeffery R.","Mesozooplankton of the lower San Francisco Estuary: spatio-temporal patterns, ENSO effects and the prevalence of non-indigenous species",JOURNAL OF PLANKTON RESEARCH,33,9,1358,1377,NA,10.1093/plankt/fbr034,2011,"Bollens, S. M., Breckenridge, J. K., Vanden Hooff, R. C., & Cordell, J. R. (2011). Mesozooplankton of the lower San Francisco Estuary: spatio-temporal patterns, ENSO effects and the prevalence of non-indigenous species. Journal of Plankton Research, 33(9), 1358–1377. doi:10.1093/plankt/fbr034"
Tenzing,363,NA,Jillian,ISI,"Svensson, Patrik; Rodwell, Lynda D.; Attrill, Martin J.",Privately Managed Marine Reserves as a Mechanism for the Conservation of Coral Reef Ecosystems: A Case Study from Vietnam,AMBIO,38,2,72,78,NA,NA,2009,"Svensson, P., Rodwell, L. D., & Attrill, M. J. (2009). Privately managed marine reserves as a mechanism for the conservation of coral reef ecosystems: a case study from Vietnam. AMBIO: A Journal of the Human Environment, 38(2), 72-78."
Tenzing,364,NA,Jillian,ISI,"Wilson, S. K.; Dolman, A. M.; Cheal, A. J.; Emslie, M. J.; Pratchett, M. S.; Sweatman, H. P. A.",Maintenance of fish diversity on disturbed coral reefs,CORAL REEFS,28,1,3,14,NA,10.1007/s00338-008-0431-2,2009,"Wilson, S. K., Dolman, A. M., Cheal, A. J., Emslie, M. J., Pratchett, M. S., & Sweatman, H. P. A. (2008). Maintenance of fish diversity on disturbed coral reefs. Coral Reefs, 28(1), 3–14. doi:10.1007/s00338-008-0431-2"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"Barrett, N. S., Edgar, G. J., Buxton, C. D., & Haddon, M. (2007). Changes in fish assemblages following 10 years of protection in Tasmanian marine protected areas. Journal of Experimental Marine Biology and Ecology, 345(2), 141–157. doi:10.1016/j.jembe.2007.02.007",,,,,,,,,,,,,,
,"Birchenough, S. N. R., & Frid, C. L. J. (2009). Macrobenthic succession following the cessation of sewage sludge disposal. Journal of Sea Research, 62(4), 258–267. doi:10.1016/j.seares.2009.06.004",,,,,,,,,,,,,,
,"Bollens, S. M., Breckenridge, J. K., Vanden Hooff, R. C., & Cordell, J. R. (2011). Mesozooplankton of the lower San Francisco Estuary: spatio-temporal patterns, ENSO effects and the prevalence of non-indigenous species. Journal of Plankton Research, 33(9), 1358–1377. doi:10.1093/plankt/fbr034",,,,,,,,,,,,,,
,"Burd, B., Bertold, S., & Macdonald, T. (2012). Responses of infaunal composition, biomass and production to discharges from a marine outfall over the past decade. Marine Pollution Bulletin, 64(9), 1837–1852. doi:10.1016/j.marpolbul.2012.06.007",,,,,,,,,,,,,,
,"Conlan, K. E., Kim, S. L., Lenihan, H. S., & Oliver, J. S. (2004). Benthic changes during 10 years of organic enrichment by McMurdo Station, Antarctica. Marine Pollution Bulletin, 49(1-2), 43–60. doi:10.1016/j.marpolbul.2004.01.007",,,,,,,,,,,,,,
,"Conversi, A., Peluso, T., & Fonda-Umani, S. (2009). Gulf of Trieste: A changing ecosystem. Journal of Geophysical Research, 114(C3). doi:10.1029/2008jc004763",,,,,,,,,,,,,,
,"Díez, I., Muguerza, N., Santolaria, A., Ganzedo, U., & Gorostiaga, J. M. (2012). Seaweed assemblage changes in the eastern Cantabrian Sea and their potential relationship to climate change. Estuarine, Coastal and Shelf Science, 99, 108–120. doi:10.1016/j.ecss.2011.12.027",,,,,,,,,,,,,,
,"Elahi, R., Birkeland, C., Sebens, K. P., Turner, K. R., & Dwyer, T. R. (2013). Limited change in the diversity and structure of subtidal communities over four decades. Marine Biology, 160(12), 3209–3219. doi:10.1007/s00227-013-2308-3",,,,,,,,,,,,,,
,"Gooday, A. J., Malzone, M. G., Bett, B. J., & Lamont, P. A. (2010). Decadal-scale changes in shallow-infaunal foraminiferal assemblages at the Porcupine Abyssal Plain, NE Atlantic. Deep Sea Research Part II: Topical Studies in Oceanography, 57(15), 1362–1382. doi:10.1016/j.dsr2.2010.01.012",,,,,,,,,,,,,,
,"Hagan, S. M., & Able, K. W. (2007). Diel Variation in the Pelagic Fish Assemblage in a Temperate Estuary. Estuaries and Coasts, 31(1), 33–42. doi:10.1007/s12237-007-9018-3",,,,,,,,,,,,,,
,"Hall, J. (1996). Effects of metal contamination on macrobenthos of two North Sea estuaries. ICES Journal of Marine Science, 53(6), 1014–1023. doi:10.1006/jmsc.1996.0127",,,,,,,,,,,,,,
,"Hawkins, J. P., Roberts, C. M., Dytham, C., Schelten, C., & Nugues, M. M. (2006). Effects of habitat characteristics and sedimentation on performance of marine reserves in St. Lucia. Biological Conservation, 127(4), 487–499. doi:10.1016/j.biocon.2005.09.008",,,,,,,,,,,,,,
,"Hoffmeyer, M. S. (2004). Decadal change in zooplankton seasonal succession in the Bahia Blanca estuary, Argentina, following introduction of two zooplankton species. Journal of Plankton Research, 26(2), 181–189. doi:10.1093/plankt/fbh023",,,,,,,,,,,,,,
,"Jones, M. V., & West, R. J. (2005). Spatial and temporal variability of seagrass fishes in intermittently closed and open coastal lakes in southeastern Australia. Estuarine, Coastal and Shelf Science, 64(2-3), 277–288. doi:10.1016/j.ecss.2005.02.021",,,,,,,,,,,,,,
,"K_dra, M., W_odarska-Kowalczuk, M., & W_s_awski, J. M. (2009). Decadal change in macrobenthic soft-bottom community structure in a high Arctic fjord (Kongsfjorden, Svalbard). Polar Biology, 33(1), 1–11. doi:10.1007/s00300-009-0679-1",,,,,,,,,,,,,,
,"Labrune, C., Grémare, A., Guizien, K., & Amouroux, J. M. (2007). Long-term comparison of soft bottom macrobenthos in the Bay of Banyuls-sur-Mer (north-western Mediterranean Sea): A reappraisal. Journal of Sea Research, 58(2), 125–143. doi:10.1016/j.seares.2007.02.006",,,,,,,,,,,,,,
,"Lindstrom, S. C., Houghton, J. P., & Lees, D. C. (1999). Intertidal Macroalgal Community Structure in Southwestern Prince William Sound, Alaska. Botanica Marina, 42(3). doi:10.1515/bot.1999.030",,,,,,,,,,,,,,
,"Link, H., Piepenburg, D., & Archambault, P. (2013). Are Hotspots Always Hotspots? The Relationship between Diversity, Resource and Ecosystem Functions in the Arctic. PLoS ONE, 8(9), e74077. doi:10.1371/journal.pone.0074077",,,,,,,,,,,,,,
,"Lison de Loma, T., Chabanet, P., Ferraris, J., Galzin, R., & Harmelin-Vivien, M. (2009). Long-term spatiotemporal variations in coral-reef fish community structure and fishing at a South Pacific atoll. Aquatic Living Resources, 22(3), 281–290. doi:10.1051/alr/2009037",,,,,,,,,,,,,,
,"López-Rasgado, F., Herzka, S., Del-Monte-Luna, P., Serviere-Zaragoza, E., Balart, E., & Lluch-Cota, S. (2012). Fish Assemblages in Three Arid Mangrove Systems of the Gulf of California: Comparing Observations from 1980 and 2010. Bulletin of Marine Science, 88(4), 919–945. doi:10.5343/bms.2011.1111",,,,,,,,,,,,,,
,"Martin, R. A., Nesbitt, E. A., & Martin, D. E. (2013). Distribution of foraminifera in Puget Sound, Western Washington, USA. The Journal of Foraminiferal Research, 43(3), 291-304.",,,,,,,,,,,,,,
,"Masuda, R. (2007). Seasonal and interannual variation of subtidal fish assemblages in Wakasa Bay with reference to the warming trend in the Sea of Japan. Environmental Biology of Fishes, 82(4), 387–399. doi:10.1007/s10641-007-9300-z",,,,,,,,,,,,,,
,"Occhipinti-Ambrogi, A., Favruzzo, M., & Savini, D. (2002). Multi-Annual Variations of Macrobenthos along the Emilia-Romagna Coast (Northern Adriatic). Marine Ecology, 23(s1), 307–319. doi:10.1111/j.1439-0485.2002.tb00029.x",,,,,,,,,,,,,,
,"Ponti, M., Antonia Colangelo, M., & Ugo Ceccherelli, V. (2007). Composition, biomass and secondary production of the macrobenthic invertebrate assemblages in a coastal lagoon exploited for extensive aquaculture: Valle Smarlacca (northern Adriatic Sea). Estuarine, Coastal and Shelf Science, 75(1-2), 79–89. doi:10.1016/j.ecss.2007.01.021",,,,,,,,,,,,,,
,"Rufino, M. M., Gaspar, M. B., Maynou, F., & Monteiro, C. C. (2008). Regional and temporal changes in bivalve diversity off the south coast of Portugal. Estuarine, Coastal and Shelf Science, 80(4), 517–528. doi:10.1016/j.ecss.2008.09.014",,,,,,,,,,,,,,
,"Sales, M., & Ballesteros, E. (2012). Seasonal dynamics and annual production of Cystoseira crinita (Fucales: Ochrophyta)-dominated assemblages from the northwestern Mediterranean. Scientia Marina, 76(2), 391–401. doi:10.3989/scimar.03465.16d",,,,,,,,,,,,,,
,"Shirayama, Y., Kitazato, H., & Shimanaga, M. (2004). Temporal patterns in diversity and species composition of deep-sea benthic copepods in bathyal Sagami Bay, central Japan. Marine Biology, 144(6), 1097–1110. doi:10.1007/s00227-003-1273-7",,,,,,,,,,,,,,
,"Somerfield, P. J., Jaap, W. C., Clarke, K. R., Callahan, M., Hackett, K., Porter, J., … Yanev, G. (2008). Changes in coral reef communities among the Florida Keys, 1996–2003. Coral Reefs, 27(4), 951–965. doi:10.1007/s00338-008-0390-7",,,,,,,,,,,,,,
,"Stuart-Smith, R. D., Barrett, N. S., Stevenson, D. G., & Edgar, G. J. (2010). Stability in temperate reef communities over a decadal time scale despite concurrent ocean warming. Global Change Biology, 16(1), 122–134. doi:10.1111/j.1365-2486.2009.01955.x",,,,,,,,,,,,,,
,"Svensson, P., Rodwell, L. D., & Attrill, M. J. (2009). Privately managed marine reserves as a mechanism for the conservation of coral reef ecosystems: a case study from Vietnam. AMBIO: A Journal of the Human Environment, 38(2), 72-78.",,,,,,,,,,,,,,
,"Wan Hussin, W. M. R., Cooper, K. M., Froján, C. R. S. B., Defew, E. C., & Paterson, D. M. (2012). Impacts of physical disturbance on the recovery of a macrofaunal community: A comparative analysis using traditional and novel approaches. Ecological Indicators, 12(1), 37–45. doi:10.1016/j.ecolind.2011.03.016",,,,,,,,,,,,,,
,"Warwick, R., Ashman, C., Brown, A., Clarke, K., Dowell, B., Hart, B., … Tapp, J. (2002). Inter-annual changes in the biodiversity and community structure of the macrobenthos in Tees Bay and the Tees estuary, UK, associated with local and regional environmental events. Marine Ecology Progress Series, 234, 1–13. doi:10.3354/meps234001",,,,,,,,,,,,,,
,"Whomersley, P., Ware, S., Rees, H. L., Mason, C., Bolam, T., Huxham, M., & Bates, H. (2008). Biological indicators of disturbance at a dredged-material disposal site in Liverpool Bay, UK: an assessment using time-series data. ICES Journal of Marine Science, 65(8), 1414–1420. doi:10.1093/icesjms/fsn125",,,,,,,,,,,,,,
